Date,GT_SearchIndex
"Oct 28 – Nov 3, 2012",26
"Nov 4 – 10, 2012",100
"Nov 11 – 17, 2012",26
"Nov 18 – 24, 2012",54
"Nov 25 – Dec 1, 2012",97
"Dec 2 – 8, 2012",24
"Dec 9 – 15, 2012",24
"Dec 16 – 22, 2012",25
"Dec 23 – 29, 2012",0
"Dec 30, 2012 – Jan 5, 2013",26
"Jan 6 – 12, 2013",49
"Jan 13 – 19, 2013",47
"Jan 20 – 26, 2013",24
"Jan 27 – Feb 2, 2013",0
"Feb 3 – 9, 2013",24
"Feb 10 – 16, 2013",24
"Feb 17 – 23, 2013",35
"Feb 24 – Mar 2, 2013",57
"Mar 3 – 9, 2013",35
"Mar 10 – 16, 2013",23
"Mar 17 – 23, 2013",47
"Mar 24 – 30, 2013",24
"Mar 31 – Apr 6, 2013",24
"Apr 7 – 13, 2013",24
"Apr 14 – 20, 2013",0
"Apr 21 – 27, 2013",0
"Apr 28 – May 4, 2013",47
"May 5 – 11, 2013",24
"May 12 – 18, 2013",0
"May 19 – 25, 2013",24
"May 26 – Jun 1, 2013",0
"Jun 2 – 8, 2013",48
"Jun 9 – 15, 2013",0
"Jun 16 – 22, 2013",25
"Jun 23 – 29, 2013",0
"Jun 30 – Jul 6, 2013",0
"Jul 7 – 13, 2013",61
"Jul 14 – 20, 2013",0
"Jul 21 – 27, 2013",37
"Jul 28 – Aug 3, 2013",24
"Aug 4 – 10, 2013",0
"Aug 11 – 17, 2013",0
"Aug 18 – 24, 2013",0
"Aug 25 – 31, 2013",23
"Sep 1 – 7, 2013",24
"Sep 8 – 14, 2013",0
"Sep 15 – 21, 2013",23
"Sep 22 – 28, 2013",0
"Sep 29 – Oct 5, 2013",0
"Oct 6 – 12, 2013",23
"Oct 13 – 19, 2013",23
"Oct 20 – 26, 2013",0
"Oct 27 – Nov 2, 2013",0
"Nov 3 – 9, 2013",23
"Nov 10 – 16, 2013",0
"Nov 17 – 23, 2013",23
"Nov 24 – 30, 2013",0
"Dec 1 – 7, 2013",0
"Dec 8 – 14, 2013",0
"Dec 15 – 21, 2013",23
"Dec 22 – 28, 2013",0
"Dec 29, 2013 – Jan 4, 2014",0
"Jan 5 – 11, 2014",22
"Jan 12 – 18, 2014",0
"Jan 19 – 25, 2014",22
"Jan 26 – Feb 1, 2014",22
"Feb 2 – 8, 2014",0
"Feb 9 – 15, 2014",32
"Feb 16 – 22, 2014",22
"Feb 23 – Mar 1, 2014",22
"Mar 2 – 8, 2014",21
"Mar 9 – 15, 2014",0
"Mar 16 – 22, 2014",0
"Mar 23 – 29, 2014",22
"Mar 30 – Apr 5, 2014",0
"Apr 6 – 12, 2014",22
"Apr 13 – 19, 2014",67
"Apr 20 – 26, 2014",23
"Apr 27 – May 3, 2014",22
"May 4 – 10, 2014",0
"May 11 – 17, 2014",23
"May 18 – 24, 2014",0
"May 25 – 31, 2014",0
"Jun 1 – 7, 2014",26
"Jun 8 – 14, 2014",26
"Jun 15 – 21, 2014",27
"Jun 22 – 28, 2014",0
"Jun 29 – Jul 5, 2014",28
"Jul 6 – 12, 2014",26
"Jul 13 – 19, 2014",52
"Jul 20 – 26, 2014",0
"Jul 27 – Aug 2, 2014",0
"Aug 3 – 9, 2014",28
"Aug 10 – 16, 2014",0
"Aug 17 – 23, 2014",26
"Aug 24 – 30, 2014",25
"Aug 31 – Sep 6, 2014",0
"Sep 7 – 13, 2014",0
"Sep 14 – 20, 2014",24
"Sep 21 – 27, 2014",0
"Sep 28 – Oct 4, 2014",0
"Oct 5 – 11, 2014",0
"Oct 12 – 18, 2014",0
"Oct 19 – 25, 2014",0
"Oct 26 – Nov 1, 2014",24
"Nov 2 – 8, 2014",24
"Nov 9 – 15, 2014",24
"Nov 16 – 22, 2014",0
"Nov 23 – 29, 2014",26
"Nov 30 – Dec 6, 2014",0
"Dec 7 – 13, 2014",24
"Dec 14 – 20, 2014",0
"Dec 21 – 27, 2014",0
"Dec 28, 2014 – Jan 3, 2015",0
"Jan 4 – 10, 2015",24
"Jan 11 – 17, 2015",0
"Jan 18 – 24, 2015",24
"Jan 25 – 31, 2015",35
"Feb 1 – 7, 2015",0
"Feb 8 – 14, 2015",23
"Feb 15 – 21, 2015",24
"Feb 22 – 28, 2015",23
"Mar 1 – 7, 2015",46
"Mar 8 – 14, 2015",0
"Mar 15 – 21, 2015",0
"Mar 22 – 28, 2015",26
"Mar 29 – Apr 4, 2015",50
"Apr 5 – 11, 2015",0
"Apr 12 – 18, 2015",0
"Apr 19 – 25, 2015",0
"Apr 26 – May 2, 2015",24
"May 3 – 9, 2015",25
"May 10 – 16, 2015",25
"May 17 – 23, 2015",0
"May 24 – 30, 2015",26
"May 31 – Jun 6, 2015",25
"Jun 7 – 13, 2015",0
"Jun 14 – 20, 2015",26
"Jun 21 – 27, 2015",0
"Jun 28 – Jul 4, 2015",27
"Jul 5 – 11, 2015",26
"Jul 12 – 18, 2015",0
"Jul 19 – 25, 2015",0
"Jul 26 – Aug 1, 2015",0
"Aug 2 – 8, 2015",0
"Aug 9 – 15, 2015",0
"Aug 16 – 22, 2015",0
"Aug 23 – 29, 2015",0
"Aug 30 – Sep 5, 2015",74
"Sep 6 – 12, 2015",0
"Sep 13 – 19, 2015",0
"Sep 20 – 26, 2015",60
"Sep 27 – Oct 3, 2015",0
"Oct 4 – 10, 2015",24
"Oct 11 – 17, 2015",0
"Oct 18 – 24, 2015",23
"Oct 25 – 31, 2015",23
"Nov 1 – 7, 2015",0
"Nov 8 – 14, 2015",24
"Nov 15 – 21, 2015",0
"Nov 22 – 28, 2015",25
"Nov 29 – Dec 5, 2015",44
"Dec 6 – 12, 2015",23
"Dec 13 – 19, 2015",0
"Dec 20 – 26, 2015",54
"Dec 27, 2015 – Jan 2, 2016",0
"Jan 3 – 9, 2016",20
"Jan 10 – 16, 2016",0
"Jan 17 – 23, 2016",19
"Jan 24 – 30, 2016",0
"Jan 31 – Feb 6, 2016",0
"Feb 7 – 13, 2016",0
"Feb 14 – 20, 2016",38
"Feb 21 – 27, 2016",57
"Feb 28 – Mar 5, 2016",19
"Mar 6 – 12, 2016",0
"Mar 13 – 19, 2016",19
"Mar 20 – 26, 2016",39
"Mar 27 – Apr 2, 2016",0
"Apr 3 – 9, 2016",38
"Apr 10 – 16, 2016",19
"Apr 17 – 23, 2016",19
