Date,GT_SearchIndex
"Sep 29 – Oct 5, 2013",71
"Oct 6 – 12, 2013",100
"Oct 13 – 19, 2013",74
"Oct 20 – 26, 2013",81
"Oct 27 – Nov 2, 2013",86
"Nov 3 – 9, 2013",77
"Nov 10 – 16, 2013",69
"Nov 17 – 23, 2013",77
"Nov 24 – 30, 2013",62
"Dec 1 – 7, 2013",63
"Dec 8 – 14, 2013",73
"Dec 15 – 21, 2013",77
"Dec 22 – 28, 2013",61
"Dec 29, 2013 – Jan 4, 2014",63
"Jan 5 – 11, 2014",59
"Jan 12 – 18, 2014",77
"Jan 19 – 25, 2014",50
"Jan 26 – Feb 1, 2014",61
"Feb 2 – 8, 2014",58
"Feb 9 – 15, 2014",68
"Feb 16 – 22, 2014",56
"Feb 23 – Mar 1, 2014",87
"Mar 2 – 8, 2014",58
"Mar 9 – 15, 2014",75
"Mar 16 – 22, 2014",40
"Mar 23 – 29, 2014",72
"Mar 30 – Apr 5, 2014",58
"Apr 6 – 12, 2014",62
"Apr 13 – 19, 2014",46
"Apr 20 – 26, 2014",51
"Apr 27 – May 3, 2014",61
"May 4 – 10, 2014",54
"May 11 – 17, 2014",31
"May 18 – 24, 2014",50
"May 25 – 31, 2014",40
"Jun 1 – 7, 2014",80
"Jun 8 – 14, 2014",39
"Jun 15 – 21, 2014",38
"Jun 22 – 28, 2014",42
"Jun 29 – Jul 5, 2014",59
"Jul 6 – 12, 2014",49
"Jul 13 – 19, 2014",67
"Jul 20 – 26, 2014",63
"Jul 27 – Aug 2, 2014",59
"Aug 3 – 9, 2014",46
"Aug 10 – 16, 2014",48
"Aug 17 – 23, 2014",44
"Aug 24 – 30, 2014",50
"Aug 31 – Sep 6, 2014",74
"Sep 7 – 13, 2014",71
"Sep 14 – 20, 2014",62
"Sep 21 – 27, 2014",55
"Sep 28 – Oct 4, 2014",62
"Oct 5 – 11, 2014",55
"Oct 12 – 18, 2014",91
"Oct 19 – 25, 2014",80
"Oct 26 – Nov 1, 2014",64
"Nov 2 – 8, 2014",63
"Nov 9 – 15, 2014",67
"Nov 16 – 22, 2014",59
"Nov 23 – 29, 2014",54
"Nov 30 – Dec 6, 2014",74
"Dec 7 – 13, 2014",80
"Dec 14 – 20, 2014",66
"Dec 21 – 27, 2014",47
"Dec 28, 2014 – Jan 3, 2015",44
"Jan 4 – 10, 2015",62
"Jan 11 – 17, 2015",49
"Jan 18 – 24, 2015",70
"Jan 25 – 31, 2015",60
"Feb 1 – 7, 2015",64
"Feb 8 – 14, 2015",57
"Feb 15 – 21, 2015",76
"Feb 22 – 28, 2015",71
"Mar 1 – 7, 2015",59
"Mar 8 – 14, 2015",69
"Mar 15 – 21, 2015",83
"Mar 22 – 28, 2015",55
"Mar 29 – Apr 4, 2015",45
"Apr 5 – 11, 2015",48
"Apr 12 – 18, 2015",69
"Apr 19 – 25, 2015",65
"Apr 26 – May 2, 2015",60
"May 3 – 9, 2015",67
"May 10 – 16, 2015",76
"May 17 – 23, 2015",63
"May 24 – 30, 2015",69
"May 31 – Jun 6, 2015",65
"Jun 7 – 13, 2015",39
"Jun 14 – 20, 2015",53
"Jun 21 – 27, 2015",43
"Jun 28 – Jul 4, 2015",35
"Jul 5 – 11, 2015",37
"Jul 12 – 18, 2015",45
"Jul 19 – 25, 2015",39
"Jul 26 – Aug 1, 2015",41
"Aug 2 – 8, 2015",47
"Aug 9 – 15, 2015",58
"Aug 16 – 22, 2015",69
"Aug 23 – 29, 2015",52
"Aug 30 – Sep 5, 2015",54
"Sep 6 – 12, 2015",75
"Sep 13 – 19, 2015",100
"Sep 20 – 26, 2015",77
"Sep 27 – Oct 3, 2015",46
"Oct 4 – 10, 2015",68
"Oct 11 – 17, 2015",59
"Oct 18 – 24, 2015",79
"Oct 25 – 31, 2015",72
"Nov 1 – 7, 2015",57
"Nov 8 – 14, 2015",90
"Nov 15 – 21, 2015",78
"Nov 22 – 28, 2015",64
"Nov 29 – Dec 5, 2015",98
"Dec 6 – 12, 2015",92
"Dec 13 – 19, 2015",81
"Dec 20 – 26, 2015",47
"Dec 27, 2015 – Jan 2, 2016",41
"Jan 3 – 9, 2016",70
"Jan 10 – 16, 2016",65
"Jan 17 – 23, 2016",59
"Jan 24 – 30, 2016",85
"Jan 31 – Feb 6, 2016",64
"Feb 7 – 13, 2016",69
"Feb 14 – 20, 2016",75
"Feb 21 – 27, 2016",71
"Feb 28 – Mar 5, 2016",66
"Mar 6 – 12, 2016",75
"Mar 13 – 19, 2016",80
"Mar 20 – 26, 2016",67
"Mar 27 – Apr 2, 2016",77
"Apr 3 – 9, 2016",59
"Apr 10 – 16, 2016",68
"Apr 17 – 23, 2016",70
"Apr 24 – 30, 2016",65
"May 1 – 7, 2016",79
"May 8 – 14, 2016",76
