Date,GT_SearchIndex
"Apr 3 – 9, 2011",86
"Apr 10 – 16, 2011",100
"Apr 17 – 23, 2011",53
"Apr 24 – 30, 2011",59
"May 1 – 7, 2011",89
"May 8 – 14, 2011",69
"May 15 – 21, 2011",49
"May 22 – 28, 2011",46
"May 29 – Jun 4, 2011",36
"Jun 5 – 11, 2011",44
"Jun 12 – 18, 2011",25
"Jun 19 – 25, 2011",22
"Jun 26 – Jul 2, 2011",28
"Jul 3 – 9, 2011",16
"Jul 10 – 16, 2011",30
"Jul 17 – 23, 2011",19
"Jul 24 – 30, 2011",16
"Jul 31 – Aug 6, 2011",9
"Aug 7 – 13, 2011",10
"Aug 14 – 20, 2011",13
"Aug 21 – 27, 2011",12
"Aug 28 – Sep 3, 2011",25
"Sep 4 – 10, 2011",28
"Sep 11 – 17, 2011",15
"Sep 18 – 24, 2011",39
"Sep 25 – Oct 1, 2011",21
"Oct 2 – 8, 2011",26
"Oct 9 – 15, 2011",24
"Oct 16 – 22, 2011",27
"Oct 23 – 29, 2011",28
"Oct 30 – Nov 5, 2011",29
"Nov 6 – 12, 2011",88
"Nov 13 – 19, 2011",41
"Nov 20 – 26, 2011",21
"Nov 27 – Dec 3, 2011",38
"Dec 4 – 10, 2011",34
"Dec 11 – 17, 2011",24
"Dec 18 – 24, 2011",22
"Dec 25 – 31, 2011",17
"Jan 1 – 7, 2012",25
"Jan 8 – 14, 2012",34
"Jan 15 – 21, 2012",22
"Jan 22 – 28, 2012",66
"Jan 29 – Feb 4, 2012",55
"Feb 5 – 11, 2012",68
"Feb 12 – 18, 2012",66
"Feb 19 – 25, 2012",96
"Feb 26 – Mar 3, 2012",59
"Mar 4 – 10, 2012",49
"Mar 11 – 17, 2012",33
"Mar 18 – 24, 2012",50
"Mar 25 – 31, 2012",48
"Apr 1 – 7, 2012",39
"Apr 8 – 14, 2012",37
"Apr 15 – 21, 2012",49
"Apr 22 – 28, 2012",38
"Apr 29 – May 5, 2012",48
"May 6 – 12, 2012",49
"May 13 – 19, 2012",26
"May 20 – 26, 2012",33
"May 27 – Jun 2, 2012",41
"Jun 3 – 9, 2012",28
"Jun 10 – 16, 2012",15
"Jun 17 – 23, 2012",13
"Jun 24 – 30, 2012",17
"Jul 1 – 7, 2012",17
"Jul 8 – 14, 2012",13
"Jul 15 – 21, 2012",14
"Jul 22 – 28, 2012",17
"Jul 29 – Aug 4, 2012",12
"Aug 5 – 11, 2012",18
"Aug 12 – 18, 2012",21
"Aug 19 – 25, 2012",31
"Aug 26 – Sep 1, 2012",26
"Sep 2 – 8, 2012",24
"Sep 9 – 15, 2012",20
"Sep 16 – 22, 2012",28
"Sep 23 – 29, 2012",26
"Sep 30 – Oct 6, 2012",27
"Oct 7 – 13, 2012",23
"Oct 14 – 20, 2012",29
"Oct 21 – 27, 2012",25
"Oct 28 – Nov 3, 2012",26
"Nov 4 – 10, 2012",28
"Nov 11 – 17, 2012",19
"Nov 18 – 24, 2012",17
"Nov 25 – Dec 1, 2012",30
"Dec 2 – 8, 2012",19
"Dec 9 – 15, 2012",26
"Dec 16 – 22, 2012",25
"Dec 23 – 29, 2012",16
"Dec 30, 2012 – Jan 5, 2013",22
"Jan 6 – 12, 2013",38
"Jan 13 – 19, 2013",33
"Jan 20 – 26, 2013",26
"Jan 27 – Feb 2, 2013",31
"Feb 3 – 9, 2013",59
"Feb 10 – 16, 2013",50
"Feb 17 – 23, 2013",36
