Date,GT_SearchIndex
"Feb 19 – 25, 2012",47
"Feb 26 – Mar 3, 2012",81
"Mar 4 – 10, 2012",77
"Mar 11 – 17, 2012",75
"Mar 18 – 24, 2012",84
"Mar 25 – 31, 2012",58
"Apr 1 – 7, 2012",44
"Apr 8 – 14, 2012",51
"Apr 15 – 21, 2012",55
"Apr 22 – 28, 2012",49
"Apr 29 – May 5, 2012",51
"May 6 – 12, 2012",56
"May 13 – 19, 2012",44
"May 20 – 26, 2012",57
"May 27 – Jun 2, 2012",53
"Jun 3 – 9, 2012",48
"Jun 10 – 16, 2012",54
"Jun 17 – 23, 2012",37
"Jun 24 – 30, 2012",50
"Jul 1 – 7, 2012",65
"Jul 8 – 14, 2012",51
"Jul 15 – 21, 2012",41
"Jul 22 – 28, 2012",61
"Jul 29 – Aug 4, 2012",51
"Aug 5 – 11, 2012",53
"Aug 12 – 18, 2012",69
"Aug 19 – 25, 2012",62
"Aug 26 – Sep 1, 2012",51
"Sep 2 – 8, 2012",44
"Sep 9 – 15, 2012",38
"Sep 16 – 22, 2012",60
"Sep 23 – 29, 2012",62
"Sep 30 – Oct 6, 2012",60
"Oct 7 – 13, 2012",50
"Oct 14 – 20, 2012",96
"Oct 21 – 27, 2012",100
"Oct 28 – Nov 3, 2012",65
"Nov 4 – 10, 2012",47
"Nov 11 – 17, 2012",48
"Nov 18 – 24, 2012",46
"Nov 25 – Dec 1, 2012",51
"Dec 2 – 8, 2012",44
"Dec 9 – 15, 2012",45
"Dec 16 – 22, 2012",51
"Dec 23 – 29, 2012",56
"Dec 30, 2012 – Jan 5, 2013",61
"Jan 6 – 12, 2013",56
"Jan 13 – 19, 2013",56
"Jan 20 – 26, 2013",55
"Jan 27 – Feb 2, 2013",67
"Feb 3 – 9, 2013",48
"Feb 10 – 16, 2013",53
"Feb 17 – 23, 2013",47
"Feb 24 – Mar 2, 2013",65
"Mar 3 – 9, 2013",61
"Mar 10 – 16, 2013",72
"Mar 17 – 23, 2013",62
"Mar 24 – 30, 2013",82
"Mar 31 – Apr 6, 2013",85
"Apr 7 – 13, 2013",94
"Apr 14 – 20, 2013",59
"Apr 21 – 27, 2013",60
"Apr 28 – May 4, 2013",61
"May 5 – 11, 2013",50
"May 12 – 18, 2013",74
"May 19 – 25, 2013",55
"May 26 – Jun 1, 2013",49
"Jun 2 – 8, 2013",47
"Jun 9 – 15, 2013",62
"Jun 16 – 22, 2013",62
"Jun 23 – 29, 2013",67
"Jun 30 – Jul 6, 2013",58
"Jul 7 – 13, 2013",55
"Jul 14 – 20, 2013",70
"Jul 21 – 27, 2013",55
"Jul 28 – Aug 3, 2013",56
"Aug 4 – 10, 2013",40
"Aug 11 – 17, 2013",60
"Aug 18 – 24, 2013",64
"Aug 25 – 31, 2013",48
"Sep 1 – 7, 2013",62
"Sep 8 – 14, 2013",44
"Sep 15 – 21, 2013",56
"Sep 22 – 28, 2013",50
"Sep 29 – Oct 5, 2013",45
"Oct 6 – 12, 2013",44
"Oct 13 – 19, 2013",42
"Oct 20 – 26, 2013",48
"Oct 27 – Nov 2, 2013",54
"Nov 3 – 9, 2013",38
"Nov 10 – 16, 2013",40
"Nov 17 – 23, 2013",35
"Nov 24 – 30, 2013",38
"Dec 1 – 7, 2013",24
"Dec 8 – 14, 2013",47
"Dec 15 – 21, 2013",52
"Dec 22 – 28, 2013",60
"Dec 29, 2013 – Jan 4, 2014",60
"Jan 5 – 11, 2014",61
"Jan 12 – 18, 2014",56
"Jan 19 – 25, 2014",46
"Jan 26 – Feb 1, 2014",52
"Feb 2 – 8, 2014",61
"Feb 9 – 15, 2014",54
"Feb 16 – 22, 2014",65
"Feb 23 – Mar 1, 2014",67
"Mar 2 – 8, 2014",61
"Mar 9 – 15, 2014",56
"Mar 16 – 22, 2014",49
"Mar 23 – 29, 2014",53
"Mar 30 – Apr 5, 2014",53
"Apr 6 – 12, 2014",63
"Apr 13 – 19, 2014",63
"Apr 20 – 26, 2014",46
"Apr 27 – May 3, 2014",50
"May 4 – 10, 2014",50
"May 11 – 17, 2014",51
"May 18 – 24, 2014",43
"May 25 – 31, 2014",42
"Jun 1 – 7, 2014",45
"Jun 8 – 14, 2014",59
"Jun 15 – 21, 2014",43
"Jun 22 – 28, 2014",53
"Jun 29 – Jul 5, 2014",55
"Jul 6 – 12, 2014",56
"Jul 13 – 19, 2014",53
"Jul 20 – 26, 2014",58
"Jul 27 – Aug 2, 2014",45
"Aug 3 – 9, 2014",53
"Aug 10 – 16, 2014",45
"Aug 17 – 23, 2014",40
"Aug 24 – 30, 2014",44
"Aug 31 – Sep 6, 2014",40
"Sep 7 – 13, 2014",29
"Sep 14 – 20, 2014",45
"Sep 21 – 27, 2014",40
"Sep 28 – Oct 4, 2014",61
"Oct 5 – 11, 2014",55
"Oct 12 – 18, 2014",37
"Oct 19 – 25, 2014",64
"Oct 26 – Nov 1, 2014",50
"Nov 2 – 8, 2014",46
"Nov 9 – 15, 2014",37
"Nov 16 – 22, 2014",40
"Nov 23 – 29, 2014",38
"Nov 30 – Dec 6, 2014",37
"Dec 7 – 13, 2014",51
"Dec 14 – 20, 2014",36
"Dec 21 – 27, 2014",39
"Dec 28, 2014 – Jan 3, 2015",37
"Jan 4 – 10, 2015",49
"Jan 11 – 17, 2015",31
"Jan 18 – 24, 2015",41
"Jan 25 – 31, 2015",46
"Feb 1 – 7, 2015",56
"Feb 8 – 14, 2015",42
"Feb 15 – 21, 2015",43
"Feb 22 – 28, 2015",51
"Mar 1 – 7, 2015",37
"Mar 8 – 14, 2015",47
"Mar 15 – 21, 2015",39
"Mar 22 – 28, 2015",47
"Mar 29 – Apr 4, 2015",55
"Apr 5 – 11, 2015",44
"Apr 12 – 18, 2015",54
"Apr 19 – 25, 2015",58
"Apr 26 – May 2, 2015",52
"May 3 – 9, 2015",52
"May 10 – 16, 2015",44
"May 17 – 23, 2015",49
"May 24 – 30, 2015",46
"May 31 – Jun 6, 2015",45
"Jun 7 – 13, 2015",54
"Jun 14 – 20, 2015",53
"Jun 21 – 27, 2015",52
"Jun 28 – Jul 4, 2015",51
"Jul 5 – 11, 2015",42
"Jul 12 – 18, 2015",47
"Jul 19 – 25, 2015",54
"Jul 26 – Aug 1, 2015",44
"Aug 2 – 8, 2015",49
"Aug 9 – 15, 2015",54
"Aug 16 – 22, 2015",45
"Aug 23 – 29, 2015",34
"Aug 30 – Sep 5, 2015",32
"Sep 6 – 12, 2015",53
"Sep 13 – 19, 2015",39
"Sep 20 – 26, 2015",44
"Sep 27 – Oct 3, 2015",52
"Oct 4 – 10, 2015",44
"Oct 11 – 17, 2015",50
"Oct 18 – 24, 2015",35
"Oct 25 – 31, 2015",53
"Nov 1 – 7, 2015",49
"Nov 8 – 14, 2015",49
"Nov 15 – 21, 2015",31
"Nov 22 – 28, 2015",31
"Nov 29 – Dec 5, 2015",43
"Dec 6 – 12, 2015",33
"Dec 13 – 19, 2015",37
"Dec 20 – 26, 2015",53
"Dec 27, 2015 – Jan 2, 2016",41
"Jan 3 – 9, 2016",44
"Jan 10 – 16, 2016",36
"Jan 17 – 23, 2016",43
"Jan 24 – 30, 2016",38
"Jan 31 – Feb 6, 2016",47
"Feb 7 – 13, 2016",38
"Feb 14 – 20, 2016",47
"Feb 21 – 27, 2016",48
"Feb 28 – Mar 5, 2016",42
"Mar 6 – 12, 2016",59
"Mar 13 – 19, 2016",40
"Mar 20 – 26, 2016",57
"Mar 27 – Apr 2, 2016",46
"Apr 3 – 9, 2016",43
