Date,GT_SearchIndex
"Nov 7, 2014",21
"Nov 8, 2014",26
"Nov 9, 2014",26
"Nov 10, 2014",0
"Nov 11, 2014",0
"Nov 12, 2014",51
"Nov 13, 2014",30
"Nov 14, 2014",21
"Nov 15, 2014",25
"Nov 16, 2014",51
"Nov 17, 2014",20
"Nov 18, 2014",22
"Nov 19, 2014",0
"Nov 20, 2014",31
"Nov 21, 2014",31
"Nov 22, 2014",26
"Nov 23, 2014",0
"Nov 24, 2014",60
"Nov 25, 2014",41
"Nov 26, 2014",22
"Nov 27, 2014",0
"Nov 28, 2014",0
"Nov 29, 2014",0
"Nov 30, 2014",50
"Dec 1, 2014",39
"Dec 2, 2014",19
"Dec 3, 2014",40
"Dec 4, 2014",40
"Dec 5, 2014",62
"Dec 6, 2014",51
"Dec 7, 2014",25
"Dec 8, 2014",20
"Dec 9, 2014",20
"Dec 10, 2014",0
"Dec 11, 2014",21
"Dec 12, 2014",43
"Dec 13, 2014",53
"Dec 14, 2014",40
"Dec 15, 2014",42
"Dec 16, 2014",31
"Dec 17, 2014",43
"Dec 18, 2014",22
"Dec 19, 2014",23
"Dec 20, 2014",28
"Dec 21, 2014",28
"Dec 22, 2014",23
"Dec 23, 2014",24
"Dec 24, 2014",26
"Dec 25, 2014",31
"Dec 26, 2014",66
"Dec 27, 2014",41
"Dec 28, 2014",27
"Dec 29, 2014",46
"Dec 30, 2014",46
"Dec 31, 2014",24
"Jan 1, 2015",28
"Jan 2, 2015",35
"Jan 3, 2015",0
"Jan 4, 2015",50
"Jan 5, 2015",32
"Jan 6, 2015",31
"Jan 7, 2015",20
"Jan 8, 2015",21
"Jan 9, 2015",21
"Jan 10, 2015",26
"Jan 11, 2015",25
"Jan 12, 2015",41
"Jan 13, 2015",61
"Jan 14, 2015",41
"Jan 15, 2015",0
"Jan 16, 2015",32
"Jan 17, 2015",26
"Jan 18, 2015",51
"Jan 19, 2015",22
"Jan 20, 2015",20
"Jan 21, 2015",40
"Jan 22, 2015",81
"Jan 23, 2015",21
"Jan 24, 2015",25
"Jan 25, 2015",26
"Jan 26, 2015",60
"Jan 27, 2015",100
"Jan 28, 2015",51
"Jan 29, 2015",20
"Jan 30, 2015",21
"Jan 31, 2015",25
"Feb 1, 2015",24
"Feb 2, 2015",39
"Feb 3, 2015",39
"Feb 4, 2015",39
"Feb 5, 2015",60
"Feb 6, 2015",31
"Feb 7, 2015",50
"Feb 8, 2015",62
"Feb 9, 2015",19
"Feb 10, 2015",29
"Feb 11, 2015",39
"Feb 12, 2015",20
"Feb 13, 2015",31
"Feb 14, 2015",25
"Feb 15, 2015",25
"Feb 16, 2015",21
"Feb 17, 2015",20
"Feb 18, 2015",40
"Feb 19, 2015",20
"Feb 20, 2015",41
"Feb 21, 2015",0
"Feb 22, 2015",37
"Feb 23, 2015",39
"Feb 24, 2015",0
"Feb 25, 2015",50
"Feb 26, 2015",20
"Feb 27, 2015",41
"Feb 28, 2015",25
"Mar 1, 2015",37
"Mar 2, 2015",40
"Mar 3, 2015",40
"Mar 4, 2015",39
"Mar 5, 2015",20
"Mar 6, 2015",41
"Mar 7, 2015",25
"Mar 8, 2015",51
"Mar 9, 2015",20
"Mar 10, 2015",80
"Mar 11, 2015",40
"Mar 12, 2015",20
"Mar 13, 2015",42
"Mar 14, 2015",25
"Mar 15, 2015",79
"Mar 16, 2015",61
"Mar 17, 2015",31
"Mar 18, 2015",62
"Mar 19, 2015",41
"Mar 20, 2015",21
"Mar 21, 2015",64
"Mar 22, 2015",38
"Mar 23, 2015",30
"Mar 24, 2015",20
"Mar 25, 2015",34
"Mar 26, 2015",24
"Mar 27, 2015",63
"Mar 28, 2015",28
"Mar 29, 2015",70
"Mar 30, 2015",41
"Mar 31, 2015",21
"Apr 1, 2015",83
"Apr 2, 2015",21
"Apr 3, 2015",23
"Apr 4, 2015",27
"Apr 5, 2015",28
"Apr 6, 2015",43
"Apr 7, 2015",41
