ISBN,Publish Date,Season,Season (int)
1416580557,2013-11-19,Autumn,3
1594202168,2014-01-07,Winter,0
1583333304,2014-01-07,Winter,0
0446540943,2014-01-20,Winter,0
076793136X,2013-11-05,Autumn,3
0451226801,2014-01-28,Winter,0
0061766143,2014-02-04,Winter,0
0385527934,2014-02-11,Winter,0
1416580514,2014-02-18,Winter,0
141659857X,2014-03-04,Spring,1
0977326411,2014-03-11,Spring,1
0316070084,2014-03-18,Spring,1
0307463125,2014-03-18,Spring,1
1594202230,2014-03-25,Spring,1
0307463699,2014-03-25,Spring,1
0446509337,2014-03-31,Spring,1
1400066514,2014-04-01,Spring,1
1401322557,2014-04-01,Spring,1
0061766720,2014-04-01,Spring,1
006177104X,2014-04-08,Spring,1
0307463451,2014-04-08,Spring,1
0470474238,2014-04-22,Spring,1
1414334060,2014-05-06,Spring,1
1439177171,2014-05-12,Spring,1
1416556249,2014-05-13,Spring,1
0307588335,2014-05-20,Spring,1
1596981091,2014-06-03,Summer,2
0060565284,2014-06-03,Summer,2
0757313728,2014-06-23,Summer,2
0670021113,2014-07-22,Summer,2
1603201300,2014-07-29,Summer,2
1594202346,2014-08-05,Summer,2
1401323529,2014-08-19,Summer,2
0446580821,2014-09-02,Autumn,3
038534385X,2014-09-09,Autumn,3
0446504122,2014-09-16,Autumn,3
0446579483,2014-09-16,Autumn,3
0345518519,2014-09-09,Autumn,3
0307267148,2014-09-16,Autumn,3
0670021202,2014-09-23,Autumn,3
1400066328,2014-09-30,Autumn,3
1568583982,2014-10-07,Autumn,3
1594630666,2014-10-07,Autumn,3
1416583408,2014-10-07,Autumn,3
0061582565,2014-10-14,Autumn,3
143915385X,2014-10-14,Autumn,3
1401322816,2014-10-28,Autumn,3
0307268969,2014-10-21,Autumn,3
1439158584,2014-11-04,Autumn,3
0316034045,2014-11-04,Autumn,3
1593156022,2014-11-10,Autumn,3
0060899182,2014-11-01,Autumn,3
0061730327,2014-10-07,Autumn,3
1439154775,2015-01-19,Winter,0
0374165734,2015-01-06,Winter,0
0060889578,2015-02-03,Winter,0
0316075841,2015-02-10,Winter,0
1416544208,2015-02-24,Winter,0
0446546267,2015-03-02,Spring,1
0316059544,2015-03-10,Spring,1
0618968415,2015-03-10,Spring,1
0805087494,2015-04-07,Spring,1
0307263436,2015-04-07,Spring,1
0312341911,2015-05-05,Spring,1
1400043042,2015-05-19,Spring,1
073821356X,2015-05-19,Spring,1
0670021334,2015-05-26,Spring,1
0061697168,2015-06-01,Summer,2
0547225474,2015-06-02,Summer,2
0316069906,2015-06-09,Summer,2
1596980990,2015-09-01,Autumn,3
1595230629,2015-07-07,Summer,2
1439172951,2015-07-07,Summer,2
0316008958,2015-08-25,Summer,2
0060574887,2015-09-01,Autumn,3
0393065677,2015-09-01,Autumn,3
0670021156,2015-09-08,Autumn,3
1439173141,2015-09-08,Autumn,3
044654146X,2015-09-15,Autumn,3
1594488843,2015-09-15,Autumn,3
0060596988,2015-09-22,Autumn,3
0670021652,2015-09-21,Autumn,3
0670021644,2015-09-29,Autumn,3
0345453212,2015-10-06,Autumn,3
006621131X,2015-10-27,Autumn,3
0393075966,2015-11-09,Autumn,3
0446569895,2016-01-19,Winter,0
1401323235,2016-01-12,Winter,0
0307453375,2016-02-16,Winter,0
0312609809,2016-03-01,Spring,1
