ISBN,Publish Date,Season,Season (int)
0525951776,2011-10-18,Autumn,3
0399156747,2011-11-01,Autumn,3
0312303785,2011-11-08,Autumn,3
0385532350,2011-11-28,Autumn,3
0312593317,2012-01-03,Winter,0
0399156909,2012-01-03,Winter,0
0385342047,2012-01-10,Winter,0
0399156917,2012-01-10,Winter,0
0061782424,2012-01-17,Winter,0
0525951652,2012-01-17,Winter,0
1401324029,2012-01-31,Winter,0
0765324121,2012-02-07,Winter,0
0316069485,2012-02-07,Winter,0
0786955007,2012-02-14,Winter,0
0399156755,2012-02-14,Winter,0
0670022241,2012-02-28,Winter,0
0385344317,2012-02-28,Winter,0
1439133948,2012-03-13,Spring,1
0385528043,2012-03-13,Spring,1
045146365X,2012-03-13,Spring,1
0312605862,2012-03-20,Spring,1
0061836923,2012-03-27,Spring,1
1439156352,2012-03-27,Spring,1
0312600844,2012-04-03,Spring,1
0446195529,2012-04-03,Spring,1
0312591071,2012-04-10,Spring,1
0345505492,2012-04-24,Spring,1
0399157212,2012-05-01,Spring,1
0316020729,2012-05-01,Spring,1
034550920X,2012-05-01,Spring,1
0399157239,2012-05-07,Spring,1
0553807722,2012-05-08,Spring,1
0399156836,2012-05-08,Spring,1
0399157026,2012-05-08,Spring,1
1439138656,2012-05-08,Spring,1
1402785925,2012-05-08,Spring,1
0446577898,2012-05-22,Spring,1
0399157077,2012-05-22,Spring,1
0385341679,2012-05-29,Spring,1
0316037915,2012-06-05,Summer,2
0307393879,2012-06-12,Summer,2
1416563814,2012-06-19,Summer,2
0756406609,2012-07-03,Summer,2
0385342322,2012-07-10,Summer,2
0307263991,2012-07-17,Summer,2
031258752X,2012-07-17,Summer,2
0446575968,2012-07-17,Summer,2
0399157034,2012-07-24,Summer,2
044656432X,2012-07-24,Summer,2
0399157050,2012-07-31,Summer,2
0307273563,2012-08-07,Summer,2
0553807250,2012-08-14,Summer,2
0385343833,2012-08-21,Summer,2
0062009621,2012-08-28,Summer,2
0307717097,2012-08-28,Summer,2
030737839X,2012-08-28,Summer,2
0312364423,2012-09-03,Autumn,3
0553807226,2012-09-04,Autumn,3
0517580519,2012-09-11,Autumn,3
0307593495,2012-09-18,Autumn,3
0312667574,2012-09-18,Autumn,3
0316074233,2012-09-18,Autumn,3
0758225652,2012-09-27,Autumn,3
0316069353,2012-09-25,Autumn,3
1439180962,2012-09-25,Autumn,3
0385343140,2012-09-25,Autumn,3
0061348155,2012-10-02,Autumn,3
1439170282,2012-10-02,Autumn,3
031238078X,2012-10-08,Autumn,3
0307593916,2012-10-09,Autumn,3
0553807080,2012-10-16,Autumn,3
0399157379,2012-10-16,Autumn,3
0312651201,2012-10-16,Autumn,3
159995334X,2012-10-16,Autumn,3
0399157360,2012-10-16,Autumn,3
0778329836,2012-10-23,Autumn,3
0446573256,2012-10-23,Autumn,3
0758227175,2012-09-11,Autumn,3
0399157263,2012-11-06,Autumn,3
0670021040,2012-11-13,Autumn,3
1439134324,2012-11-20,Autumn,3
0399157387,2012-11-20,Autumn,3
0312567251,2012-11-26,Autumn,3
0345505514,2013-01-01,Winter,0
0345497945,2013-01-08,Winter,0
0345509102,2013-01-15,Winter,0
140006712X,2013-01-15,Winter,0
0061930237,2013-01-29,Winter,0
0425241130,2013-02-05,Winter,0
0312642695,2013-02-12,Winter,0
0446583146,2013-02-19,Winter,0
1451620691,2013-02-26,Winter,0
0062060554,2013-03-05,Spring,1
0316036218,2013-03-19,Spring,1
0374173958,2013-03-05,Spring,1
0345515501,2013-03-19,Spring,1
0553801473,2013-03-26,Spring,1
1451617720,2013-03-26,Spring,1
031265121X,2013-03-26,Spring,1
0312380348,2013-04-02,Spring,1
0385340303,2013-04-02,Spring,1
0399157433,2013-04-09,Spring,1
0446564443,2013-04-09,Spring,1
0525952209,2013-04-16,Spring,1
0312546599,2013-04-23,Spring,1
0312365748,2013-04-29,Spring,1
052595225X,2013-04-30,Spring,1
0399157557,2013-04-30,Spring,1
034552554X,2013-05-07,Spring,1
0312655452,2013-05-14,Spring,1
034550691X,2013-05-28,Spring,1
0316126691,2013-06-04,Summer,2
0399157786,2013-06-04,Summer,2
0312651619,2013-06-11,Summer,2
0399157840,2013-06-18,Summer,2
0312567464,2013-06-18,Summer,2
1599953544,2013-06-25,Summer,2
1401324436,2013-07-02,Summer,2
0061977969,2013-07-09,Summer,2
0385344325,2013-07-16,Summer,2
0778312690,2013-07-23,Summer,2
140006709X,2013-08-06,Summer,2
0778312704,2013-08-06,Summer,2
0786958421,2013-08-20,Summer,2
145161747X,2013-08-20,Summer,2
0399157859,2013-08-20,Summer,2
0307394999,2013-08-20,Summer,2
0446547654,2013-08-27,Summer,2
0374203059,2013-08-27,Summer,2
031609739X,2013-09-10,Autumn,3
0385533020,2013-09-10,Autumn,3
0307957128,2013-09-17,Autumn,3
1414319355,2014-01-14,Winter,0
0385532377,2013-09-24,Autumn,3
