ISBN,Publish Date,Season,Season (int)
0307395774,"September 9, 2008"
0743266242,"May 6, 2008"
1416551735,"August 19, 2008"
0743294580,"September 9, 2008"
0553805096,"June 2, 2008"
0670019070,"April 15, 2008"
0307408493,"April 22, 2008"
1579127495,"Nov 01, 2008"
0061125350,"January 6, 2009"
0385528264,"March 10, 2009"
1416562850,March 2009
0743294114,"April 8, 2008"
1602860866,"May 19, 2009"
1401322905,"July 7, 2009"
0307461351,"August 4, 2009"
0767922468,"August 11, 2009"
0446539252,"September 14, 2009"
0385522266,"September 15, 2009"
0061719544,"September 22, 2009"
0786868724,"September 29, 2009"
0061864153,"November 3, 2009"
0061939897,"November 17, 2009"
0061733636,"January 11, 2010"
031264065X,"January 30, 2010"
0446561932,"February 1, 2010"
0345522397,"February 5, 2010"
1439191050,"March 9, 2010"
0307394867,"April 13, 2010"
1439101191,"May 18, 2010"
0061718947,"June 8, 2010"
1439180911,"July 6, 2010"
0374280991,"September 20, 2010"
140132391X,"September 28, 2010"
0061233781,September 2010
1439171211,"October 5, 2010"
1439107955,2010 November
0670022594,January 2011
159523067X,"February 8, 2011"
1592406122,"February 8, 2011"
0062015540,"February 22, 2011"
0525952101,"February 22, 2011"
1595230734,22 February 2011
0385530803,"March 15, 2011"
1605292885,"march 29, 2011"
1616082267,"April 4, 2011"
0061969788,"April 12, 2011"
1451607296,"April 5, 2011"
080509329X,"April 26, 2011"
0061767891,"June 15, 2010"
0307382338,"November 11, 2008"
0805091203,"May 24, 2011"
0307353486,"June 7, 2011"
1451629184,"July 12, 2011"
0307719693,Aug 2011
0684872986,"September 13, 2011"
0399158413,2011 November 14
046502954X,April 1986
1400069106,"February 8, 2012"
0316547700,"November 5, 2013"
0743236718,2012 November
0062193643,"Nov 13, 2012"
0393071952,"Jan 07, 2013"
046502811X,"Jan 29, 2013"
1400069807,"February 26, 2013"
0544002695,"Mar 05, 2013"
1250024978,"Mar 27, 2013"
0547636458,"April 30, 2013"
067002581X,"June 4, 2013"
1455501352,"Jun 18, 2013"
140006922X,"July 16, 2013"
1476725950,"Jul 23, 2013"
0465031013,"Sep 10, 2013"
1451668724,"Sep 17, 2013"
0385536615,"Sep 17, 2013"
0812992857,"January 14, 2014"
0374228442,March 11 2014
0871404516,"Mar 10, 2014"
0547719280,"Jun 03, 2014"
080509668X,"September 23, 2014"
147673190X,"(September 23, 2014)"
0525954422,"October 28, 2014"
0062322842,"Nov 04, 2014"
0544287045,"Dec 02, 2014"
0393247686,"Mar 30, 2015"
0062385321,"May 05, 2015"
0544279336,"May 05, 2015"
1594206279, 2015-07-16
0812997573,"Jun 16, 2015"
1476785651,"Aug 11, 2015"
1250083974,"Sep 29, 2015"
1250058902,"Oct 13, 2015"
110188696X,"November 3, 2015"
1591848067,"November 3, 2015"
1250007143,"Nov 10, 2015"
1250095891,"November 24, 2015"
0553447432,March 1st 2016
