Date,GT_SearchIndex
"May 25 – 31, 2014",64
"Jun 1 – 7, 2014",64
"Jun 8 – 14, 2014",50
"Jun 15 – 21, 2014",44
"Jun 22 – 28, 2014",45
"Jun 29 – Jul 5, 2014",50
"Jul 6 – 12, 2014",90
"Jul 13 – 19, 2014",43
"Jul 20 – 26, 2014",59
"Jul 27 – Aug 2, 2014",48
"Aug 3 – 9, 2014",51
"Aug 10 – 16, 2014",44
"Aug 17 – 23, 2014",56
"Aug 24 – 30, 2014",38
"Aug 31 – Sep 6, 2014",42
"Sep 7 – 13, 2014",43
"Sep 14 – 20, 2014",50
"Sep 21 – 27, 2014",47
"Sep 28 – Oct 4, 2014",43
"Oct 5 – 11, 2014",50
"Oct 12 – 18, 2014",33
"Oct 19 – 25, 2014",35
"Oct 26 – Nov 1, 2014",50
"Nov 2 – 8, 2014",47
"Nov 9 – 15, 2014",31
"Nov 16 – 22, 2014",53
"Nov 23 – 29, 2014",41
"Nov 30 – Dec 6, 2014",39
"Dec 7 – 13, 2014",70
"Dec 14 – 20, 2014",68
"Dec 21 – 27, 2014",66
"Dec 28, 2014 – Jan 3, 2015",51
"Jan 4 – 10, 2015",52
"Jan 11 – 17, 2015",50
"Jan 18 – 24, 2015",100
"Jan 25 – 31, 2015",72
"Feb 1 – 7, 2015",57
"Feb 8 – 14, 2015",77
"Feb 15 – 21, 2015",61
"Feb 22 – 28, 2015",57
"Mar 1 – 7, 2015",36
"Mar 8 – 14, 2015",52
"Mar 15 – 21, 2015",50
"Mar 22 – 28, 2015",34
"Mar 29 – Apr 4, 2015",67
"Apr 5 – 11, 2015",28
"Apr 12 – 18, 2015",51
"Apr 19 – 25, 2015",52
"Apr 26 – May 2, 2015",45
"May 3 – 9, 2015",50
"May 10 – 16, 2015",46
"May 17 – 23, 2015",41
"May 24 – 30, 2015",50
"May 31 – Jun 6, 2015",49
"Jun 7 – 13, 2015",42
"Jun 14 – 20, 2015",38
"Jun 21 – 27, 2015",45
"Jun 28 – Jul 4, 2015",32
"Jul 5 – 11, 2015",55
"Jul 12 – 18, 2015",36
"Jul 19 – 25, 2015",33
"Jul 26 – Aug 1, 2015",36
"Aug 2 – 8, 2015",44
"Aug 9 – 15, 2015",32
"Aug 16 – 22, 2015",43
"Aug 23 – 29, 2015",40
"Aug 30 – Sep 5, 2015",38
"Sep 6 – 12, 2015",36
"Sep 13 – 19, 2015",35
"Sep 20 – 26, 2015",53
"Sep 27 – Oct 3, 2015",50
"Oct 4 – 10, 2015",36
"Oct 11 – 17, 2015",31
"Oct 18 – 24, 2015",55
"Oct 25 – 31, 2015",47
"Nov 1 – 7, 2015",52
"Nov 8 – 14, 2015",49
"Nov 15 – 21, 2015",29
"Nov 22 – 28, 2015",42
"Nov 29 – Dec 5, 2015",44
"Dec 6 – 12, 2015",68
"Dec 13 – 19, 2015",51
"Dec 20 – 26, 2015",52
"Dec 27, 2015 – Jan 2, 2016",72
"Jan 3 – 9, 2016",58
"Jan 10 – 16, 2016",66
"Jan 17 – 23, 2016",41
"Jan 24 – 30, 2016",79
"Jan 31 – Feb 6, 2016",80
"Feb 7 – 13, 2016",91
"Feb 14 – 20, 2016",59
"Feb 21 – 27, 2016",64
"Feb 28 – Mar 5, 2016",73
"Mar 6 – 12, 2016",65
"Mar 13 – 19, 2016",60
"Mar 20 – 26, 2016",59
"Mar 27 – Apr 2, 2016",59
"Apr 3 – 9, 2016",70
"Apr 10 – 16, 2016",91
"Apr 17 – 23, 2016",53
"Apr 24 – 30, 2016",38
"May 1 – 7, 2016",59
"May 8 – 14, 2016",54
