Date,GT_SearchIndex
"Jan 8, 2010",50
"Jan 9, 2010",68
"Jan 10, 2010",47
"Jan 11, 2010",38
"Jan 12, 2010",10
"Jan 13, 2010",21
"Jan 14, 2010",32
"Jan 15, 2010",44
"Jan 16, 2010",100
"Jan 17, 2010",62
"Jan 18, 2010",41
"Jan 19, 2010",41
"Jan 20, 2010",56
"Jan 21, 2010",41
"Jan 22, 2010",70
"Jan 23, 2010",22
"Jan 24, 2010",75
"Jan 25, 2010",51
"Jan 26, 2010",46
"Jan 27, 2010",40
"Jan 28, 2010",31
"Jan 29, 2010",53
"Jan 30, 2010",29
"Jan 31, 2010",51
"Feb 1, 2010",61
"Feb 2, 2010",44
"Feb 3, 2010",40
"Feb 4, 2010",50
"Feb 5, 2010",26
"Feb 6, 2010",50
"Feb 7, 2010",66
"Feb 8, 2010",62
"Feb 9, 2010",29
"Feb 10, 2010",60
"Feb 11, 2010",41
"Feb 12, 2010",38
"Feb 13, 2010",30
"Feb 14, 2010",54
"Feb 15, 2010",23
"Feb 16, 2010",61
"Feb 17, 2010",35
"Feb 18, 2010",51
"Feb 19, 2010",54
"Feb 20, 2010",59
"Feb 21, 2010",67
"Feb 22, 2010",40
"Feb 23, 2010",44
"Feb 24, 2010",29
"Feb 25, 2010",30
"Feb 26, 2010",37
"Feb 27, 2010",93
"Feb 28, 2010",37
"Mar 1, 2010",25
"Mar 2, 2010",20
"Mar 3, 2010",35
"Mar 4, 2010",61
"Mar 5, 2010",38
"Mar 6, 2010",60
"Mar 7, 2010",77
"Mar 8, 2010",62
"Mar 9, 2010",35
"Mar 10, 2010",35
"Mar 11, 2010",41
"Mar 12, 2010",42
"Mar 13, 2010",22
"Mar 14, 2010",15
"Mar 15, 2010",31
"Mar 16, 2010",36
"Mar 17, 2010",32
"Mar 18, 2010",32
"Mar 19, 2010",39
"Mar 20, 2010",47
"Mar 21, 2010",30
"Mar 22, 2010",30
"Mar 23, 2010",45
"Mar 24, 2010",36
"Mar 25, 2010",36
"Mar 26, 2010",16
"Mar 27, 2010",46
"Mar 28, 2010",53
"Mar 29, 2010",35
"Mar 30, 2010",35
"Mar 31, 2010",58
"Apr 1, 2010",33
"Apr 2, 2010",38
"Apr 3, 2010",49
"Apr 4, 2010",34
"Apr 5, 2010",48
"Apr 6, 2010",31
"Apr 7, 2010",26
"Apr 8, 2010",10
"Apr 9, 2010",33
"Apr 10, 2010",38
"Apr 11, 2010",100
"Apr 12, 2010",30
"Apr 13, 2010",30
