Date,GT_SearchIndex
"Mar 27, 2009",25
"Mar 28, 2009",15
"Mar 29, 2009",10
"Mar 30, 2009",8
"Mar 31, 2009",100
"Apr 1, 2009",50
"Apr 2, 2009",36
"Apr 3, 2009",36
"Apr 4, 2009",44
"Apr 5, 2009",26
"Apr 6, 2009",16
"Apr 7, 2009",10
"Apr 8, 2009",10
"Apr 9, 2009",6
"Apr 10, 2009",4
"Apr 11, 2009",11
"Apr 12, 2009",4
"Apr 13, 2009",7
"Apr 14, 2009",11
"Apr 15, 2009",10
"Apr 16, 2009",5
"Apr 17, 2009",9
"Apr 18, 2009",9
"Apr 19, 2009",0
"Apr 20, 2009",6
"Apr 21, 2009",7
"Apr 22, 2009",3
"Apr 23, 2009",3
"Apr 24, 2009",4
"Apr 25, 2009",15
"Apr 26, 2009",9
"Apr 27, 2009",4
"Apr 28, 2009",9
"Apr 29, 2009",7
"Apr 30, 2009",5
"May 1, 2009",5
"May 2, 2009",7
"May 3, 2009",7
"May 4, 2009",3
"May 5, 2009",3
"May 6, 2009",7
"May 7, 2009",6
"May 8, 2009",5
"May 9, 2009",4
"May 10, 2009",0
"May 11, 2009",7
"May 12, 2009",2
"May 13, 2009",2
"May 14, 2009",7
"May 15, 2009",0
"May 16, 2009",7
"May 17, 2009",3
"May 18, 2009",2
"May 19, 2009",2
"May 20, 2009",11
"May 21, 2009",5
"May 22, 2009",8
"May 23, 2009",8
"May 24, 2009",20
"May 25, 2009",0
"May 26, 2009",5
"May 27, 2009",7
"May 28, 2009",5
"May 29, 2009",25
"May 30, 2009",11
"May 31, 2009",7
"Jun 1, 2009",7
"Jun 2, 2009",2
"Jun 3, 2009",12
"Jun 4, 2009",7
"Jun 5, 2009",4
"Jun 6, 2009",4
"Jun 7, 2009",11
"Jun 8, 2009",7
"Jun 9, 2009",6
"Jun 10, 2009",6
"Jun 11, 2009",4
"Jun 12, 2009",6
"Jun 13, 2009",4
"Jun 14, 2009",6
"Jun 15, 2009",5
"Jun 16, 2009",7
"Jun 17, 2009",5
"Jun 18, 2009",2
"Jun 19, 2009",4
"Jun 20, 2009",7
"Jun 21, 2009",6
"Jun 22, 2009",8
"Jun 23, 2009",2
"Jun 24, 2009",2
"Jun 25, 2009",2
