Date,GT_SearchIndex
"Feb 3 – 9, 2013",40
"Feb 10 – 16, 2013",100
"Feb 17 – 23, 2013",70
"Feb 24 – Mar 2, 2013",20
"Mar 3 – 9, 2013",59
"Mar 10 – 16, 2013",20
"Mar 17 – 23, 2013",0
"Mar 24 – 30, 2013",41
"Mar 31 – Apr 6, 2013",20
"Apr 7 – 13, 2013",20
"Apr 14 – 20, 2013",20
"Apr 21 – 27, 2013",20
"Apr 28 – May 4, 2013",20
"May 5 – 11, 2013",20
"May 12 – 18, 2013",0
"May 19 – 25, 2013",21
"May 26 – Jun 1, 2013",21
"Jun 2 – 8, 2013",21
"Jun 9 – 15, 2013",21
"Jun 16 – 22, 2013",0
"Jun 23 – 29, 2013",21
"Jun 30 – Jul 6, 2013",22
"Jul 7 – 13, 2013",41
"Jul 14 – 20, 2013",0
"Jul 21 – 27, 2013",0
"Jul 28 – Aug 3, 2013",0
"Aug 4 – 10, 2013",21
"Aug 11 – 17, 2013",0
"Aug 18 – 24, 2013",82
"Aug 25 – 31, 2013",0
"Sep 1 – 7, 2013",0
"Sep 8 – 14, 2013",20
"Sep 15 – 21, 2013",19
"Sep 22 – 28, 2013",30
"Sep 29 – Oct 5, 2013",39
"Oct 6 – 12, 2013",40
"Oct 13 – 19, 2013",40
"Oct 20 – 26, 2013",0
"Oct 27 – Nov 2, 2013",39
"Nov 3 – 9, 2013",39
"Nov 10 – 16, 2013",20
"Nov 17 – 23, 2013",19
"Nov 24 – 30, 2013",41
"Dec 1 – 7, 2013",37
"Dec 8 – 14, 2013",19
"Dec 15 – 21, 2013",0
"Dec 22 – 28, 2013",23
"Dec 29, 2013 – Jan 4, 2014",0
"Jan 5 – 11, 2014",19
"Jan 12 – 18, 2014",19
"Jan 19 – 25, 2014",38
"Jan 26 – Feb 1, 2014",19
"Feb 2 – 8, 2014",20
"Feb 9 – 15, 2014",18
"Feb 16 – 22, 2014",19
"Feb 23 – Mar 1, 2014",0
"Mar 2 – 8, 2014",0
"Mar 9 – 15, 2014",0
"Mar 16 – 22, 2014",19
"Mar 23 – 29, 2014",19
"Mar 30 – Apr 5, 2014",37
"Apr 6 – 12, 2014",19
"Apr 13 – 19, 2014",19
"Apr 20 – 26, 2014",0
"Apr 27 – May 3, 2014",0
"May 4 – 10, 2014",19
"May 11 – 17, 2014",19
"May 18 – 24, 2014",21
"May 25 – 31, 2014",0
"Jun 1 – 7, 2014",22
"Jun 8 – 14, 2014",0
"Jun 15 – 21, 2014",0
"Jun 22 – 28, 2014",0
"Jun 29 – Jul 5, 2014",0
"Jul 6 – 12, 2014",0
"Jul 13 – 19, 2014",45
"Jul 20 – 26, 2014",0
"Jul 27 – Aug 2, 2014",0
"Aug 3 – 9, 2014",24
"Aug 10 – 16, 2014",22
"Aug 17 – 23, 2014",22
"Aug 24 – 30, 2014",21
"Aug 31 – Sep 6, 2014",21
"Sep 7 – 13, 2014",21
"Sep 14 – 20, 2014",0
"Sep 21 – 27, 2014",21
"Sep 28 – Oct 4, 2014",21
"Oct 5 – 11, 2014",0
"Oct 12 – 18, 2014",21
"Oct 19 – 25, 2014",41
"Oct 26 – Nov 1, 2014",0
"Nov 2 – 8, 2014",40
"Nov 9 – 15, 2014",20
"Nov 16 – 22, 2014",30
"Nov 23 – 29, 2014",0
"Nov 30 – Dec 6, 2014",19
"Dec 7 – 13, 2014",20
"Dec 14 – 20, 2014",43
"Dec 21 – 27, 2014",25
"Dec 28, 2014 – Jan 3, 2015",0
"Jan 4 – 10, 2015",41
"Jan 11 – 17, 2015",20
"Jan 18 – 24, 2015",0
"Jan 25 – 31, 2015",40
"Feb 1 – 7, 2015",19
"Feb 8 – 14, 2015",0
"Feb 15 – 21, 2015",20
"Feb 22 – 28, 2015",0
"Mar 1 – 7, 2015",0
"Mar 8 – 14, 2015",60
"Mar 15 – 21, 2015",20
"Mar 22 – 28, 2015",45
"Mar 29 – Apr 4, 2015",0
"Apr 5 – 11, 2015",20
"Apr 12 – 18, 2015",0
"Apr 19 – 25, 2015",62
"Apr 26 – May 2, 2015",62
"May 3 – 9, 2015",21
"May 10 – 16, 2015",32
"May 17 – 23, 2015",33
"May 24 – 30, 2015",22
"May 31 – Jun 6, 2015",0
"Jun 7 – 13, 2015",0
"Jun 14 – 20, 2015",44
"Jun 21 – 27, 2015",0
"Jun 28 – Jul 4, 2015",0
"Jul 5 – 11, 2015",0
"Jul 12 – 18, 2015",0
"Jul 19 – 25, 2015",0
"Jul 26 – Aug 1, 2015",0
"Aug 2 – 8, 2015",22
"Aug 9 – 15, 2015",0
"Aug 16 – 22, 2015",22
"Aug 23 – 29, 2015",21
"Aug 30 – Sep 5, 2015",0
"Sep 6 – 12, 2015",0
"Sep 13 – 19, 2015",0
"Sep 20 – 26, 2015",20
"Sep 27 – Oct 3, 2015",40
"Oct 4 – 10, 2015",0
"Oct 11 – 17, 2015",40
"Oct 18 – 24, 2015",0
"Oct 25 – 31, 2015",20
"Nov 1 – 7, 2015",0
"Nov 8 – 14, 2015",20
"Nov 15 – 21, 2015",59
"Nov 22 – 28, 2015",0
"Nov 29 – Dec 5, 2015",19
"Dec 6 – 12, 2015",19
"Dec 13 – 19, 2015",20
"Dec 20 – 26, 2015",0
"Dec 27, 2015 – Jan 2, 2016",0
"Jan 3 – 9, 2016",33
"Jan 10 – 16, 2016",0
"Jan 17 – 23, 2016",0
"Jan 24 – 30, 2016",0
"Jan 31 – Feb 6, 2016",40
"Feb 7 – 13, 2016",32
"Feb 14 – 20, 2016",0
"Feb 21 – 27, 2016",16
"Feb 28 – Mar 5, 2016",0
"Mar 6 – 12, 2016",16
"Mar 13 – 19, 2016",0
"Mar 20 – 26, 2016",0
