Date,GT_SearchIndex
"Feb 23 – Mar 1, 2014",43
"Mar 2 – 8, 2014",46
"Mar 9 – 15, 2014",47
"Mar 16 – 22, 2014",42
"Mar 23 – 29, 2014",41
"Mar 30 – Apr 5, 2014",45
"Apr 6 – 12, 2014",47
"Apr 13 – 19, 2014",48
"Apr 20 – 26, 2014",45
"Apr 27 – May 3, 2014",50
"May 4 – 10, 2014",60
"May 11 – 17, 2014",58
"May 18 – 24, 2014",49
"May 25 – 31, 2014",47
"Jun 1 – 7, 2014",47
"Jun 8 – 14, 2014",44
"Jun 15 – 21, 2014",48
"Jun 22 – 28, 2014",50
"Jun 29 – Jul 5, 2014",52
"Jul 6 – 12, 2014",54
"Jul 13 – 19, 2014",61
"Jul 20 – 26, 2014",52
"Jul 27 – Aug 2, 2014",52
"Aug 3 – 9, 2014",51
"Aug 10 – 16, 2014",48
"Aug 17 – 23, 2014",47
"Aug 24 – 30, 2014",49
"Aug 31 – Sep 6, 2014",54
"Sep 7 – 13, 2014",53
"Sep 14 – 20, 2014",48
"Sep 21 – 27, 2014",44
"Sep 28 – Oct 4, 2014",52
"Oct 5 – 11, 2014",81
"Oct 12 – 18, 2014",78
"Oct 19 – 25, 2014",66
"Oct 26 – Nov 1, 2014",60
"Nov 2 – 8, 2014",57
"Nov 9 – 15, 2014",59
"Nov 16 – 22, 2014",53
"Nov 23 – 29, 2014",63
"Nov 30 – Dec 6, 2014",58
"Dec 7 – 13, 2014",62
"Dec 14 – 20, 2014",67
"Dec 21 – 27, 2014",90
"Dec 28, 2014 – Jan 3, 2015",78
"Jan 4 – 10, 2015",69
"Jan 11 – 17, 2015",83
"Jan 18 – 24, 2015",67
"Jan 25 – 31, 2015",52
"Feb 1 – 7, 2015",49
"Feb 8 – 14, 2015",48
"Feb 15 – 21, 2015",49
"Feb 22 – 28, 2015",45
"Mar 1 – 7, 2015",47
"Mar 8 – 14, 2015",42
"Mar 15 – 21, 2015",43
"Mar 22 – 28, 2015",41
"Mar 29 – Apr 4, 2015",46
"Apr 5 – 11, 2015",49
"Apr 12 – 18, 2015",45
"Apr 19 – 25, 2015",48
"Apr 26 – May 2, 2015",63
"May 3 – 9, 2015",61
"May 10 – 16, 2015",41
"May 17 – 23, 2015",46
"May 24 – 30, 2015",46
"May 31 – Jun 6, 2015",45
"Jun 7 – 13, 2015",50
"Jun 14 – 20, 2015",48
"Jun 21 – 27, 2015",54
"Jun 28 – Jul 4, 2015",57
"Jul 5 – 11, 2015",81
"Jul 12 – 18, 2015",75
"Jul 19 – 25, 2015",68
"Jul 26 – Aug 1, 2015",56
"Aug 2 – 8, 2015",55
"Aug 9 – 15, 2015",57
"Aug 16 – 22, 2015",54
"Aug 23 – 29, 2015",50
"Aug 30 – Sep 5, 2015",45
"Sep 6 – 12, 2015",56
"Sep 13 – 19, 2015",52
"Sep 20 – 26, 2015",50
"Sep 27 – Oct 3, 2015",60
"Oct 4 – 10, 2015",73
"Oct 11 – 17, 2015",54
"Oct 18 – 24, 2015",53
"Oct 25 – 31, 2015",44
"Nov 1 – 7, 2015",50
"Nov 8 – 14, 2015",48
"Nov 15 – 21, 2015",47
"Nov 22 – 28, 2015",55
"Nov 29 – Dec 5, 2015",54
"Dec 6 – 12, 2015",55
"Dec 13 – 19, 2015",56
"Dec 20 – 26, 2015",81
"Dec 27, 2015 – Jan 2, 2016",84
"Jan 3 – 9, 2016",79
"Jan 10 – 16, 2016",79
"Jan 17 – 23, 2016",100
"Jan 24 – 30, 2016",75
"Jan 31 – Feb 6, 2016",60
"Feb 7 – 13, 2016",57
"Feb 14 – 20, 2016",62
"Feb 21 – 27, 2016",54
"Feb 28 – Mar 5, 2016",52
"Mar 6 – 12, 2016",48
"Mar 13 – 19, 2016",51
"Mar 20 – 26, 2016",54
"Mar 27 – Apr 2, 2016",58
"Apr 3 – 9, 2016",53
"Apr 10 – 16, 2016",52
"Apr 17 – 23, 2016",48
"Apr 24 – 30, 2016",45
"May 1 – 7, 2016",49
"May 8 – 14, 2016",47
