,ISBN,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date,on_NYT,publisher_id,publishplace_id,dewey_id,publisher_freq,publish_place_freq,dewey_freq,Author,author_id,author_frequency
4537,312611609,St. Martin's Press,813/.54,PS3560.O275 S53 2010,Shadow zone,372.0,New York,0.0,277.625,2010.0,1,1442,270,345,69,729,667,Iris Johansen,2117,16
4538,765326264,Forge,813/.6,PS3603.A4535 D64 2010,A dog's purpose,319.0,New York,0.0,267.3333333,2010.0,1,1395,270,287,4,729,205,W. Bruce Cameron,592,2
4539,307272583,Knopf,,,Star Island,340.12267196424136,,0.0,293.1666667,2010.0,1,1147,0,0,13,0,0,Carl Hiaasen,1522,2
4540,1400066409,Random House,813/.6,PS3619.H79 S87 2010,Super sad true love story,334.0,New York,0.0,296.0,2010.0,1,803,270,287,32,729,205,Gary Shteyngart,2112,1
4541,61239240,William Morrow,813/.54,PS3560.A44 Q44 2010,Queen of the night,340.12267196424136,New York,0.0,475.66666669999995,2010.0,1,1614,270,345,65,729,667,Judith A. Jance,1468,5
4542,525951784,Dutton Adult,,,"Waking the Witch (Women of the Otherworld, Book 11)",320.0,,0.0,0.0,2010.0,1,1665,0,0,6,0,0,Kelley Armstrong,1395,4
4543,385340850,Dial Press,813/.54,PS3557.O5829 C66 2010,The cookbook collector,340.12267196424136,New York,24.0,227.5,2010.0,1,1286,270,345,5,729,667,Allegra Goodman,797,1
4544,1416563725,Touchstone,,,The Red Queen (War of the Roses #2),340.12267196424136,,0.0,129.0,2010.0,1,149,0,0,4,0,0,Philippa Gregory,178,8
4545,441018688,Ace,,,Death's Excellent Vacation,340.12267196424136,,0.0,0.0,2010.0,1,1127,0,0,2,0,0,Charlaine Harris,1188,11
4546,031261456X,Minotaur Books,,,Burn (Anna Pigeon #16),340.12267196424136,,0.0,446.66666669999995,2010.0,1,1564,0,0,15,0,0,Nevada Barr,334,4
4547,1439107971,Atria Books,813/.54,PS3554.E9273 S33 2010,Scarlet nights,340.12267196424136,New York,0.0,339.14285710000007,2010.0,1,1169,270,345,30,729,667,Jude Deveraux,1635,3
4548,399156542,G.P. Putnam's Sons,813/.54,PS3566.E234 I5 2010,In harm's way,340.12267196424136,New York,2.0,436.75,2010.0,1,885,270,345,74,729,667,Ridley Pearson,1746,3
4549,1416563105,Simon & Schuster,,,Tough Customer,340.12267196424136,,0.0,203.6,2010.0,1,470,0,0,62,0,0,Sandra Brown,1009,7
4550,345506898,Ballantine Books,,,Veil of Night,340.12267196424136,,0.0,140.66666669999998,2010.0,1,449,0,0,59,0,0,Linda Howard,1057,6
4551,399156631,Putnam,,,The Vigilantes,340.12267196424136,,4.0,92.0,2010.0,1,458,0,0,13,0,0,William E. Butterworth (W.E.B.) Griffin,1296,8
4552,1401323138,Hyperion,,,Death on the D-List,340.12267196424136,,0.0,0.0,2010.0,1,1143,0,0,10,0,0,Nancy Grace,1639,1
4553,399156623,Putnam Adult,,,Cure,340.12267196424136,,0.0,0.0,2010.0,1,406,0,0,25,0,0,Tom Dyja,630,1
4554,316089516,"Little, Brown and Co.",813/.54,PS3566.A822 P67 2010,The postcard killers,340.12267196424136,New York,2.5,221.28571430000002,2010.0,1,1407,270,345,31,729,667,James Patterson,1772,44
4555,399156801,Putnam,,,The Cobra,340.12267196424136,,0.0,167.36363640000002,2010.0,1,458,0,0,13,0,0,Frederick Forsyth,98,1
4556,743276744,Simon & Schuster,,,Three Stations,352.0,,0.0,269.0,2010.0,1,470,0,0,62,0,0,Martin Cruz Smith,951,1
4557,1439136610,Simon & Schuster,,,Last Night at Chateau Marmont,384.0,,0.0,153.91666669999998,2010.0,1,470,0,0,62,0,0,Lauren Weisberger,1447,3
4558,039915681X,Putnam,,,Crossfire,340.12267196424136,,0.0,129.5,2010.0,1,458,0,0,13,0,0,Dick Francis,1045,3
4559,61706558,William Morrow,,,I'd Know You Anywhere,340.12267196424136,,0.0,219.66666669999998,2010.0,1,1614,0,0,65,0,0,Laura Lippman,488,4
4560,525951776,Dutton,,,The Last Lie,340.12267196424136,,0.0,128.5,2010.0,1,793,0,0,34,0,0,Stephen White,1367,1
4561,525950583,Dutton Adult,,,Tempted by Trouble,400.0,,0.0,128.5,2010.0,1,1665,0,0,6,0,0,Eric Jerome Dickey,1160,2
4562,1439102392,Scribner,,,Spider Bones (Temperance Brennan #13),340.12267196424136,,0.0,155.3571429,2010.0,1,505,0,0,31,0,0,Kathy Reichs,761,6
4563,345484177,Del Rey,,,Bearers of the Black Staff (Legends of Shannara #1),340.12267196424136,,0.0,129.0,2010.0,1,446,0,0,7,0,0,Terry Brooks,254,6
4564,345516109,Ballantine Books,813/.6,PS3606.O7487 J85 2010,Juliet,340.12267196424136,New York,1.0,692.0,2010.0,1,449,270,287,59,729,205,Anne Fortier,1576,1
4565,425236595,Berkley Hardcover,,,Dark Peril (Carpathian),340.12267196424136,,0.0,220.0,2010.0,1,1170,0,0,4,0,0,Christine Feehan,1898,6
4566,399156763,Putnam,,,Lost Empire (Fargo #2),340.12267196424136,,0.0,142.0,2010.0,1,458,0,0,13,0,0,Clive Cussler,1502,25
4567,765326353,Tor,,,The Way of Kings,1008.0,,0.0,0.0,2010.0,1,1141,0,0,16,0,0,Brandon Sanderson,497,5
4568,399156747,Putnam,,,Body Work (V.I. Warshawski #14),340.12267196424136,,0.0,233.5555556,2010.0,1,458,0,0,13,0,0,Sara Paretsky,1955,2
4569,312303785,St. Martin's,,,Maybe This Time,340.12267196424136,,0.0,205.66666669999998,2010.0,1,1479,0,0,1,0,0,Jennifer Crusie,1574,1
4570,312546564,St. Martin's Press,,,No Mercy,448.0,,1.0,208.625,2010.0,1,1442,0,0,69,0,0,Sherrilyn Kenyon,1460,7
4571,670022047,Viking,813/.54,PS3563.C3868 G48 2010,Getting to happy,340.12267196424136,New York,1.0,338.1666667,2010.0,1,63,270,345,25,729,667,Terry McMillan,369,2
4572,385523211,Spiegel & Grau,813/.6,PS3607.R696 A86 2010,Ape house,340.12267196424136,New York,0.0,268.6,2010.0,1,856,270,287,2,729,205,Sara Gruen,370,2
4573,399156828,Putnam,,,Zero History,340.12267196424136,,0.0,267.3333333,2010.0,1,458,0,0,13,0,0,William F. Gibson,201,1
