ISBN,Title,FirstDate,LastDate
399171177,DEADLY ASSETS,8/23/2015,Not Found
758280408,DOUBLE FUDGE BROWNIE MURDER,3/15/2015,Not Found
60837381,THE FIXER UPPER,7/12/2009,7/19/2009
385537603,THE BILLION DOLLAR SPY,7/26/2015,4/10/2016
61774154,"FIFTH AVENUE, 5 A.M",7/25/2010,4/10/2016
1401323138,DEATH ON THE D-LIST,8/29/2010,Not Found
1451617526,THE GIRLS OF ATOMIC CITY,4/14/2013,4/10/2016
316074314,THE LUMINARIES,11/3/2013,1/12/2014
316032220,BEAT THE REAPER,2/1/2009,2/8/2009
1250050936,CONFESSIONS OF A WILD CHILD,2/23/2014,Not Found
345511387,DECEIVED,4/10/2011,Not Found
670022713,LOST AND FOUND,4/10/2011,Not Found
393087727,WHITEY BULGER,3/17/2013,4/10/2016
312651244,SLEEP NO MORE,11/4/2012,Not Found
1439156417,ISTANBUL PASSAGE,6/17/2012,6/24/2012
1416551735,WESLEY THE OWL,9/28/2008,Not Found
006229721X,THE MONOGRAM MURDERS,9/28/2014,10/12/2014
1937856380,PRESUMED GUILTY,7/29/2012,Not Found
786955007,GAUNTLGRYM,10/24/2010,10/31/2010
141659907X,DROP DEAD HEALTHY,4/29/2012,4/10/2016
451416155,OUT OF THE BLUE,8/5/2012,Not Found
802119921,WHAT IT IS LIKE TO GO TO WAR,9/18/2011,4/10/2016
670022691,RULES OF CIVILITY,8/14/2011,9/11/2011
670021032,ROCKET MEN,8/2/2009,4/10/2016
1250019990,HUNTING EVE,8/4/2013,Not Found
1400066514,SATCHEL,6/28/2009,4/10/2016
465028284,WINNER TAKE ALL,6/24/2012,Not Found
61161705,THE UNSEEN ACADEMICALS,10/25/2009,Not Found
399165134,TRUST NO ONE,1/25/2015,2/1/2015
525954287,MRS. LINCOLN&#39;S RIVAL,2/2/2014,Not Found
553392425,FOOL&#39;S ASSASSIN,8/31/2014,Not Found
399160795,A MAN WITHOUT BREATH,5/5/2013,Not Found
1101903457,BLACK EARTH,9/27/2015,4/10/2016
1455527475,WHY I LEFT GOLDMAN SACHS,11/11/2012,Not Found
312651198,CHASING THE NIGHT,11/7/2010,Not Found
1416583408,INSIDE OF A DOG,10/4/2009,4/10/2016
374227349,THE ORIGINS OF POLITICAL ORDER,5/1/2011,Not Found
62079603,THE MEN WHO UNITED THE STATES,11/3/2013,Not Found
307594130,BARK,3/16/2014,Not Found
61876909,PINEAPPLE GRENADE,2/12/2012,Not Found
373774591,DANGEROUS,6/13/2010,6/20/2010
62231707,THE ACCURSED,4/7/2013,Not Found
1400067618,ENGINEERS OF VICTORY,2/17/2013,Not Found
1595552669,LIES THE GOVERNMENT TOLD YOU,3/28/2010,4/10/2016
1476745048,COLD BETRAYAL,3/29/2015,Not Found
1400067154,ABSOLUTE MONARCHS,7/31/2011,4/10/2016
800719913,CHOOSING TO SEE,9/19/2010,4/10/2016
441016383,PRINCEPS&#39; FURY,12/14/2008,Not Found
61629863,BEAUTIFUL SACRIFICE,6/10/2012,Not Found
316133264,THE ONION BOOK OF KNOWN KNOWLEDGE,11/11/2012,4/10/2016
1400068932,MAJOR PETTIGREW&#39;S LAST STAND,3/28/2010,4/18/2010
1416597883,ONCE A RUNNER,4/26/2009,Not Found
425227731,UNDEAD AND UNWELCOME,6/21/2009,Not Found
312593317,A SECRET KEPT,10/3/2010,10/10/2010
312377452,CRAZY LOVE,4/19/2009,4/10/2016
451475267,THE BOURBON KINGS,8/16/2015,Not Found
038553521X,"LOVE, DISHONOR, MARRY, DIE, CHERISH, PERISH",8/4/2013,8/11/2013
451417631,THE TAO OF MARTHA,6/23/2013,Not Found
316244570,FORTUNATE SON,10/25/2015,4/10/2016
1451687508,CHASING SUNSETS,4/26/2015,Not Found
125006581X,DO NO HARM,6/14/2015,4/10/2016
1439187037,A SUDDEN LIGHT,10/19/2014,Not Found
345516109,JULIET,9/12/2010,Not Found
525953604,THE GIVING QUILT,11/18/2012,Not Found
1439138338,NORA WEBSTER,10/26/2014,11/2/2014
1414336276,THE THIRD TARGET,1/25/2015,2/1/2015
345531485,THE SKULL THRONE,4/19/2015,Not Found
307597059,CATASTROPHE 1914,10/13/2013,Not Found
316614351,THE KID,12/22/2013,4/10/2016
1621573788,UNLIKEABLE,10/18/2015,Not Found
140006841X,PRICE OF CIVILIZATION,10/23/2011,4/10/2016
316334316,BORN WITH TEETH,5/3/2015,4/10/2016
1451672721,GOLD,7/22/2012,Not Found
1594202567,FOUR FISH,8/22/2010,Not Found
62319191,ALL THE STARS IN THE HEAVENS,11/1/2015,Not Found
848746392,MY SOUTHERN JOURNEY,10/11/2015,4/10/2016
470540869,THE DEVIL&#39;S CASINO,4/11/2010,4/10/2016
345530446,THE BIG CAT NAP,4/22/2012,Not Found
446580503,I AM AMERICA (AND SO CAN YOU!),6/8/2008,4/10/2016
307886948,JEANNIE OUT OF THE BOTTLE,4/24/2011,4/10/2016
345531035,PRECIOUS GIFTS,12/20/2015,1/10/2016
067002550X,THE BRAIN&#39;S WAY OF HEALING,2/22/2015,4/10/2016
316069906,EATING ANIMALS,11/22/2009,4/10/2016
399167242,LOVE & WAR,1/26/2014,4/10/2016
385532377,DOUBLE DEXTER,11/6/2011,Not Found
399155139,ROUGH JUSTICE,9/7/2008,9/14/2008
393240231,SMOKE GETS IN YOUR EYES,10/5/2014,Not Found
399165940,YOU CAN DATE BOYS WHEN YOU&#39;RE FORTY,3/23/2014,4/10/2016
451234383,IF YOU WERE HERE,5/22/2011,5/29/2011
345535227,INTO THE DREAMING,5/13/2012,Not Found
399176144,THE WOLVES,2/28/2016,Not Found
61702323,BLINDMAN&#39;S BLUFF,8/30/2009,9/6/2009
039915812X,NIGHT MOVES,3/24/2013,4/7/2013
399157883,SILENT NIGHT,11/10/2013,Not Found
1400065119,HOME SAFE,5/17/2009,5/24/2009
1451669380,500 DAYS,9/30/2012,Not Found
385341970,BROKEN,7/11/2010,Not Found
1596985585,BLACK BELT PATRIOTISM,9/28/2008,4/10/2016
145550176X,LIVING WITH A WILD GOD,4/27/2014,Not Found
393082415,SAVING ITALY,5/26/2013,Not Found
553807072,CAT OF THE CENTURY,4/25/2010,Not Found
62106074,HEROES ARE MY WEAKNESS,9/14/2014,Not Found
307594033,THE END OF YOUR LIFE BOOK CLUB,10/21/2012,4/10/2016
765376709,ONE YEAR AFTER,10/4/2015,Not Found
312341911,YOU BETTER NOT CRY,11/15/2009,4/10/2016
307719820,THIRD WORLD AMERICA,10/3/2010,4/10/2016
312550650,BAD BLOOD,3/17/2013,Not Found
399157808,COVERT WARRIORS,1/15/2012,Not Found
451463781,TWILIGHT&#39;S DAWN,3/20/2011,Not Found
553392921,FOOL&#39;S QUEST,8/30/2015,Not Found
1594202982,WENDY AND THE LOST BOYS,9/11/2011,Not Found
385523173,COME TO THE EDGE,4/17/2011,Not Found
316224553,SAINTS OF THE SHADOW BIBLE,2/2/2014,2/9/2014
307593916,PLEASE LOOK AFTER MOM,5/1/2011,5/8/2011
038534385X,HOMER&#39;S ODYSSEY,9/13/2009,4/10/2016
399157220,THE WEIRD SISTERS,2/13/2011,3/20/2011
385349149,DRIVEN,11/10/2013,Not Found
1439156352,EDGE,11/21/2010,Not Found
399156623,CURE,8/29/2010,Not Found
399171231,TOP SECRET,8/24/2014,Not Found
385354207,MIDNIGHT SUN,3/6/2016,Not Found
031632468X,FROG MUSIC,4/20/2014,5/4/2014
446572829,RIGHTEOUS INDIGNATION,5/8/2011,Not Found
446573310,BORN OF SILENCE,5/20/2012,Not Found
470289066,HEAVEN AND HELL,8/10/2008,Not Found
316182214,TOP SECRET AMERICA,9/25/2011,Not Found
670020869,DUNE ROAD,7/5/2009,Not Found
670785695,WHO ASKED YOU?,10/6/2013,10/13/2013
1602861110,ALL THINGS AT ONCE,1/24/2010,4/10/2016
140132391X,GROWING UP LAUGHING,10/17/2010,4/10/2016
1101874996,THE CARTEL,7/12/2015,8/9/2015
1439138656,DEAD ZERO,1/16/2011,1/23/2011
399161287,UNDISPUTED TRUTH,12/1/2013,Not Found
307592812,AFTERSHOCK,10/10/2010,4/10/2016
1455576646,THE OCTOBER LIST,10/20/2013,Not Found
385524927,WHILE MY SISTER SLEEPS,3/8/2009,3/15/2009
1439172072,OBAMA ZOMBIES,4/18/2010,Not Found
1400043131,ALL THAT IS,4/21/2013,Not Found
765332175,AN IRISH COUNTRY WEDDING,11/4/2012,Not Found
006124340X,TEMPTATION AND SURRENDER,3/15/2009,Not Found
1250002966,THAT WOMAN,3/4/2012,4/10/2016
006156284X,FURIOUS LOVE,7/4/2010,4/10/2016
1400063361,PIRATE HUNTERS,7/5/2015,4/10/2016
307591794,SCORECASTING,2/20/2011,4/10/2016
778328198,CALL ME MRS. MIRACLE,10/17/2010,10/24/2010
61692069,LET ME BE FRANK WITH YOU,11/23/2014,11/30/2014
1626361398,THEY KILLED OUR PRESIDENT,10/20/2013,4/10/2016
385521324,THE SHADOW FACTORY,11/2/2008,Not Found
1416565159,"I, SNIPER",1/17/2010,2/21/2010
399158154,WHEREVER I WIND UP,7/22/2012,4/10/2016
525427910,WAIT FOR SIGNS,11/9/2014,Not Found
159240653X,SWEETNESS,10/23/2011,Not Found
1400041627,HEMINGWAY&#39;S BOAT,10/16/2011,Not Found
1599951967,THE BRIDE COLLECTOR,5/2/2010,Not Found
374115583,A BOOK OF SECRETS,8/28/2011,Not Found
525954619,THE FIXER,6/28/2015,Not Found
125006113X,UNFORGETTABLE,4/19/2015,Not Found
307269191,WHAT I TALK ABOUT WHEN I TALK ABOUT RUNNING,8/17/2008,4/10/2016
374273189,THE TENTH PARALLEL,9/12/2010,Not Found
312583729,2030,5/29/2011,6/19/2011
385521383,NEW YORK,11/29/2009,Not Found
425266338,ELVIS AND GINGER,9/21/2014,4/10/2016
006182593X,MAKING TOAST,3/14/2010,Not Found
1476716862,BACK FROM THE DEAD,4/10/2016,Not Found
670022950,THE BETTER ANGELS OF OUR NATURE,10/30/2011,Not Found
61452556,EVIDENCE OF THE AFTERLIFE,2/7/2010,4/10/2016
316059544,WHEN EVERYTHING CHANGED,11/8/2009,4/10/2016
1400069335,ELEPHANT COMPANY,8/3/2014,4/10/2016
385349319,A NICE LITTLE PLACE ON THE NORTH SIDE,4/13/2014,4/10/2016
670025925,EVERY LOVE STORY IS A GHOST STORY,9/16/2012,4/10/2016
765329042,EARTH UNAWARE,8/5/2012,Not Found
61473413,YANKEE FOR LIFE,8/3/2008,Not Found
345507002,MILLENNIUM FALCON,11/9/2008,11/16/2008
1451641427,THE SCIENCE OF YOGA,2/26/2012,4/10/2016
081299762X,THE ONLY GAME IN TOWN,2/14/2016,4/10/2016
1568587147,REBUILD THE DREAM,4/22/2012,4/10/2016
1400066328,YOU WERE ALWAYS MOM&#39;S FAVORITE,9/27/2009,4/10/2016
312667574,SWEET VALLEY CONFIDENTIAL,4/17/2011,Not Found
805087737,THE SPIRE,9/20/2009,10/4/2009
1451693567,THE MUSEUM OF EXTRAORDINARY THINGS,3/9/2014,3/23/2014
316328685,GUANTÃƒÃ…NAMO DIARY,2/8/2015,4/10/2016
1401341799,HEAVEN IS HERE,4/22/2012,Not Found
1594631379,LOST AT SEA,11/18/2012,4/10/2016
