ISBN,Author,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date
1587680262,Colin Duriez,HiddenSpring,820.9/00912,PR6039.O32 Z639 2003,Tolkien and C.S. Lewis,244,"Mahwah, N.J",1.0,18.666666666666668,2003
1402516274,J. R. R. Tolkien,Recorded Books Unabridged,nan,nan,The Lord of the Rings Trilogy Gift Set,nan,nan,0.0,56.84615384615385,2002
1930051158,J. R. Hyland,Lantern Books,241/.693,BS680.A5 H948 2000,God's covenant with animals,107,"New York, NY",0,33.4,2000
1582881588,Jacqueline Winspear,Quality Paperback Book Club,nan,nan,Maisie Dobbs & Birds of a Feather (2 in 1),nan,nan,0,167.0,2004
074324754X,Jeannette Walls,Scribner,nan,nan,The Glass Castle,288,nan,23.4,47.833333333333336,2006
1416916326,Lauren Levin,Simon Spotlight Entertainment,nan,nan,Same Sex in the City,250,nan,0,7.125,2006
344275500X,Daniel Jonah Goldhagen,"Wilhelm Goldmann Verlag, GmbH",nan,nan,Hitler's Willinge Vollstrecker / Hitler's Willing Executioners,728,nan,0,0,1999
141651631X,Brad Thor,Pocket Books,nan,nan,Path of the Assasin,nan,nan,0,0,2003
1560066237,nan,Lucent Books,364.15/2/0922,E176.1 .N45 2000,Presidential assassins,112,"San Diego, CA",0,16.142857142857142,2000
039306123X,Michael Lewis,W. W. Norton,796.332092,GV939.O44 L49 2007,The blind side,339,New York,35.0,0.3333333333333333,2007
037576092X,Laurie Notaro,Villard,814/.6,PS3614.O785 Z463 2003,Autobiography of a fat bride,257,New York,0,8.3,2003
1400064368,Laurie Notaro,Villard Books,814/.6,PS3614.O785 Z469 2005,An idiot girl's Christmas,nan,New York,0,4.857142857142857,2005
1400065011,Laurie Notaro,Villard,814/.6,PS3614.O785 T47 2007,There's a (slight) chance I might be going to Hell,nan,New York,0,0.6666666666666666,2007
3404149475,Laurie Notaro,Lübbe,nan,nan,Anleitung zum Zickigsein.,254,nan,0,0,2003
1594972079,Chris Ware,Public Square Books,nan,nan,"Jimmy Corrigan: El Chico mas Lindo del Mundo (Jimmy Corrigan: The Smartest Kid on Earth, Spanish Edition)",380,nan,0,0,2006
284055805X,Chris Ware,Delcourt,nan,nan,Jimmy Corrigan (Prix du meilleur album - Angoulême 2003),380,nan,0,0,2003
1897299028,Chris Ware,ACME Novelty Library,nan,nan,ACME Novelty Library #17 (Acme Novelty Library),64,nan,0,0,2006
1896597661,Chris Ware,Drawn and Quarterly,nan,PN,The acme novelty datebook,nan,"Montréal, QC",0,167.0,2004
022407265X,Chris Ware,Jonathan Cape,nan,nan,Quimby the Mouse,56,nan,0,0,2003
1400064708,Shīrīn ʻIbādī,Random House,323.3/4092,KMH110.I23 A3 2006,Iran awakening,nan,New York,3.0,1.9523809523809523,2006
1573241172,Mark Nepo,Conari Press,nan,nan,The Book of Awakening,434,nan,0,42.666666666666664,2000
1557832455,Frank Wedekind,Applause,nan,PT2647.E26 F813 1995,Spring's awakening,84,New York,4.0,57.1,1995
1573226327,Kathleen A. Brehony,Riverhead Books,nan,nan,Awakening at midlife,373,New York,0,36.72727272727273,1997
9626343664,James Joyce,Naxos Audiobooks,nan,nan,A Portrait of the Artist As a Young Man,nan,nan,4.666666666666667,4.833333333333333,2005
1570421129,nan,Warner Adult,nan,nan,A Study Guide to Gabriel Garcia Marquez' One Hundred Years of Solitude,nan,nan,0,0,1994
006112009X,Gabriel Garcia Márquez,Harper Perennial Modern Classics,863,PQ8180.17.A73 C513 2006,One hundred years of solitude,417,New York,0.0,0.5,2006
081297106X,Azar Nafisi,Random House,nan,nan,Reading Lolita in Tehran,356,New York,1.5,3.0,2004
185715133X,Vladimir Nabokov,Everyman's Library,nan,nan,Lolita (Everyman's Library Classics),368,nan,0,27.448275862068964,1992
1585004286,nan,1stBooks,nan,nan,"The Fateful Adventures of the Good Soldier Svejk During the World War, Book One",260,nan,0,0,2000
1593082681,Ford Maddox Ford,Barnes & Noble Classics,nan,nan,The Good Soldier,256,nan,0,0,2005
8445074873,Ray Bradbury,Del Rey,nan,nan,Farenheit 451,nan,nan,0,0.4444444444444444,2004
030734813X,Michael Crichton,Plaza y Janes,nan,nan,Jurassic Park,467,nan,0,78.0,2006
1400047951,"Kuper, Peter",Crown,nan,PT2621.A26 V4 2003,The metamorphosis,77,New York,0,7.5,2003
1400052998,"Kuper, Peter",Three Rivers Press,nan,nan,The metamorphosis,79,New York,0,7.5,2003
1593080298,Franz Kafka,Barnes & Noble Books,nan,nan,"The metamorphosis, and other stories",272,nan,0,8.428571428571429,2003
9990824495,"Anouilh, Jean",French & European Pubns,nan,nan,Antigone,nan,nan,0,0,2006
1580493882,Sophocles,"Prestwick House, Inc.",nan,nan,Antigone,80,nan,0,40.42857142857143,2005
1402726627,Martin Woodside,Sterling Pub.,[Fic],PZ7.W867 Gul 2006,Gulliver's travels,nan,New York,0,51.75,2006
039484484X,Dr. Seuss,Random House,[E],PZ8.G326 Fi 1990,The 500 hats of Bartholomew Cubbins,47,New York,0,24.91304347826087,1990
1930332351,Dr. Seuss,Lectorum Publications,[E],PZ74.3 .S43 2003,Horton escucha a Quién!,nan,New York,0,21.529411764705884,2003
1565847040,Dr. Seuss,New Press,940.54/002/07,D745.2 .G45 2001,Dr. Seuss Goes to War,272,New York,35.0,5.0,2001
1883011191,Vladimir Nabokov,Library of America,nan,PS3527.A15 A15 1996,Vladimir Nabokov,nan,New York,0,28.166666666666668,1996
1400078431,Joan Didion,Vintage International,813/.54,PS3554.I33 Z63 2007,The year of magical thinking,227,New York,35.0,4.2592592592592595,2007
067978327X,Herman Melville,Modern Library,813/.3,PS2384 .M6 2000,"Moby Dick, or, The whale",851,New York,12.5,3.46875,2000
1844670228,Mike Davis,Verso,nan,nan,Planet of Slums,256,nan,0,7.5,2006
1859843824,Mike Davis,Verso,nan,nan,Late Victorian Holocausts,470,nan,0,9.444444444444445,2002
1931859353,Justin Akers Chacón,Haymarket Books,304.873072 A33n 2006,JV6456 .A38 2006,No one is illegal,333,"Chicago, Ill",18.0,19.555555555555557,2006
006440546X,Maud Hart Lovelace,HarperTrophy,nan,nan,Betsy and Joe (Betsy-Tacy),282,nan,0,61.42857142857143,1995
1416916172,Margaret Sidney,Aladdin,nan,nan,Five Little Peppers and How They Grew (Aladdin Classics),352,nan,2.0,52.23076923076923,2006
044040035X,Margaret Sidney,Yearling,nan,nan,Five Little Peppers at School,nan,nan,0,41.5,1988
059033221X,Carol Ryrie Brink,Scholastic Book Services,nan,nan,Baby Island,nan,nan,0,58.8,1965
1841490326,Orson Scott Card,Orbit,nan,nan,Heartfire (The Tales of Alvin Maker),336,nan,0,0,2001
076534128X,Orson Scott Card,Doherty Associates,nan,nan,Rebekah,404,"New York, NY",0,80.6,2001
1593974809,Orson Scott Card,Audio Renaissance,nan,nan,Shadow of the Hegemon (Ender's Shadow),nan,nan,0,167.0,2006
1862301387,Brian Jacques,Red Fox,nan,nan,Redwall,416,nan,0,0,2006
084317420X,Roger Hargreaves,Price Stern Sloan,nan,nan,Mr. Impossible (Mr. Men and Little Miss),32,nan,0,0.42857142857142855,1998
084312492X,Roger Hargreaves,Price Stern Sloan,nan,nan,Mr. Jelly and the Pirates,32,nan,0,167.0,2007
067980126X,Roger Hargreaves,Random House Books for Young Readers,nan,nan,CHARLIE OINK (Easy Peasy People),nan,nan,0,0,1989
2010189140,Roger Hargreaves,Hachette,nan,nan,Madame Je-Sais-Tout,36,nan,0,0,1997
1591127017,Judi Barrett,Live Oak Media,nan,nan,Cloudy With A Chance Of Meatballs (Cloudy and Pickles (Audio W/Paperback)),nan,nan,0,167.0,2004
1595191356,nan,Live Oak Media,818,PN6231.A5,Animales No Se Visten.,nan,S.l,0,0,1991
1883011183,Vladimir Nabokov,Library of America,nan,PS3527.A15 A15 1996,Vladimir Nabokov,nan,New York,0,28.166666666666668,1996
031235326X,Barbara Taylor Bradford,St. Martin's Griffin,nan,nan,A Woman of Substance,906,nan,35.0,11.333333333333334,2006
1401202527,Mark Waid,DC Comics,nan,nan,Superman,287,nan,0,167.0,2005
097216748X,Jeanne Treat,"Bruce & Bruce, Inc.",nan,nan,Dark Birthright,448,nan,0,42.5,2006
1400307848,Laura Ingalls Wilder,Tommy Nelson,nan,nan,Writings To Young Women From Laura Ingalls Wilder On Wisdom And Virtues,nan,nan,0,0,2006
1400307856,Stephen W. Hines,Tommy Nelson,nan,nan,Writings to Young Women from Laura Ingalls Wilder  Volume Two,nan,nan,0,167.0,2006
1400307864,Laura Ingalls Wilder,Thomas Nelson,nan,nan,Writings to Young Women on Laura Ingalls Wilder - Volume Three,128,nan,0,167.0,2006
140008279X,nan,Three Rivers Press,nan,nan,The Laughing Jesus,263,nan,0,0,2006
006440692X,Laura Ingalls Wilder,HarperTrophy,nan,nan,Winter on the Farm (My First Little House),32,nan,0,11.25,1997
006443494X,Doris Ettlinger,HarperTrophy,nan,PZ7.W64612 Lih 1997b,A Little house birthday,32,New York,0,31.714285714285715,1997
9707705736,Sergio Ramirez,Alfaguara,nan,nan,El Reino Animal / the Animal Kingdom,224,nan,0,0.16666666666666666,2006
1581345267,Frank E. Peretti,Crossway Books,nan,nan,Prophet,416,nan,0,70.5,2004
1857151372,Simone de Beauvoir,Everyman's Library,nan,nan,The Second Sex,848,nan,0,0,1993
009974421X,Simone de Beauvoir,Vintage,nan,nan,The Second Sex,786,nan,0,73.0,1997
1557091846,Thomas Jefferson,Applewood Books,nan,nan,The Jefferson Bible,103,nan,1.0,24.7,2006
034542705X,Monty Roberts,Ballantine Books,nan,nan,The man who listens to horses,309,New York,46.0,56.4,1999
042519938X,Dick Francis,Berkley,nan,nan,Decider,352,nan,0,32.5,2004
042520846X,Dick Francis,Berkley,nan,nan,Straight,320,nan,0,134.66666666666666,2006
042519745X,Dick Francis,Berkley,nan,nan,10 lb Penalty,320,nan,0,13.0,2004
042519499X,Dick Francis,Berkley,nan,nan,Field of Thirteen,289,nan,0,18.5,2004
1592402038,Lynne Truss,Gotham,nan,nan,"Eats, Shoots  &  Leaves",209,nan,0,20.90909090909091,2006
1861979339,Lynne Truss,Profile Books,nan,nan,Talk to the Hand,214,nan,0,402.0,2005
1582432902,Timothy L. Taylor,Counterpoint,813/.6,PR9199.4.T39 S73 2003,Stanley Park,423,New York,0,57.714285714285715,2003
1841492051,Orson Scott Card,Orbit,nan,nan,Shadow of the Giant,388,nan,0,0,2005
8497643658,Arthur Conan Doyle,Edimat Libros,nan,nan,Las aventuras de Sherlock Holmes,192,nan,0,0.0,2005
055337933X,Tom Robbins,Bantam Books,813/.54,PS3568.O233 F54 2003,Fierce invalids home from hot climates,445,New York,0,23.0,2003
1842430351,Tom Robbins,No Exit Press,nan,nan,Jitterbug Perfume,342,nan,0,14.25,2001
1740597710,nan,Lonely Planet Publications,nan,nan,West Africa,904,"Victoria, Australia",0,134.0,2006
2290053651,Douglas Adams,J'ai lu,nan,nan,Starship Titanic,189,nan,0,0,2001
2864603497,Helen Greven,Didier érudition,nan,nan,Margaret Atwood ,nan,nan,0,0,1998
1594865671,Al Gore,Rodale Press,363.73874,QC981.8.G56 G67 2006,An inconvenient truth,325,"Emmaus, Pa",17.5,35.5,2006
037572706X,Gore Vidal,Vintage International,813/.54,PS3543.I26 J8 2003,Julian,503,New York,1.0,41.07692307692308,2003
068485256X,Nikos Kazantzakis,Touchstone,nan,nan,The Last Temptation of Christ,512,nan,0,70.5,1998
1844080080,Waris Dirie,"Virago Press, Limited",nan,nan,Desert Dawn,240,nan,0,167.0,2004
1844082520,WARIS DIRIE,VIRAGO,nan,nan,DESERT CHILDREN; TRANS. BY SHEELAGH ALABASTER.,nan,LONDON,0,55.666666666666664,nan
1860497586,Waris Dirie,Virago,nan,nan,Desert flower,238,London,17.5,2.0833333333333335,2002
3764501383,nan,Blanvalet Verlag GmbH,nan,nan,Nomadentochter.,nan,nan,0,0,2002
3453212614,nan,Heyne,nan,nan,Wuestenblume.,nan,nan,0,0,2002
2226135510,nan,Albin Michel,nan,nan,L'Aube du désert,288,nan,0,0,2002
3423203668,Henning Mankell,Deutscher Taschenbuch Verlag,nan,nan,Die fünfte Frau,576,München Germany,0,0,2000
3442449316,Alex Garland,Goldmann,nan,nan,Der Strand. Sonderausgabe.,445,nan,0,0,2001
3426777177,Corinne Hofmann,Droemer Knaur,nan,nan,ZurÃ¼ck aus Afrika,320,nan,0,1.7777777777777777,2004
8439710097,Dave Eggers,Grijalbo Mondadori Sa,nan,nan,Ahora sabreis lo que es correr/ You Shall Know Our Velocity,400,nan,0,0,2004
014027409X,Anthony Burgess,Penguin Books,nan,nan,A clockwork orange,148,"Harmondsworth, Middlesex",29.5,17.93877551020408,1998
055277183X,Ben Elton,Black Swan,nan,nan,This Other Eden,400,nan,0,100.5,2003
2070513289,Antoine de Saint-Exupéry,Gallimard,nan,nan,Le petit prince,123,[Paris?] France,0,31.95,1997
1569716684,Various,Dark Horse,nan,nan,"Planet of the Apes, Volume 1",80,nan,0,0,2002
184023380X,nan,Titan Books Ltd,nan,nan,Planet of the Apes,72,nan,0,0,2001
1594201005,Niall Ferguson,"Penguin Press HC, The",nan,nan,The War of the World,880,nan,0,15.0,2006
1596792507,Malvina G. Vogel,Abdo,[Fic],PZ7.V86723 Sh 2005,Sherlock Holmes and the case of the hound of the Baskervilles,237,"Edinia, Minn",29.5,3.0,2005
1401301959,Jamie Oliver,Hyperion,nan,nan,JAMIE'S ITALY,320,nan,6.0,27.833333333333332,2006
1401301940,Jamie Oliver,Hyperion,641.5,TX714 .O4485 2004,Jamie's dinners,321,New York,0,42.5,2004
034049168X,nan,Hodder & Stoughton General Division,nan,nan,Bloodsword (The Walls of Spyte),304,nan,0,0,1988
1577780728,DC Talk (Musical group),Albury Pub.,272/.9,BR1604.2 .J47 1999,Jesus freaks,368,"Tulsa, Okla",0,107.83333333333333,1999
1577782089,DC Talk,Bethany House,nan,nan,Live Like a Jesus Freak,192,nan,0,0,2001
1588993000,Sakurako Gokurakuin,Dr. Master Productions Inc.,nan,nan,Category Freaks Volume 1 (Category Freaks),200,nan,0,0,2005
1583227202,Kate Bornstein,Seven Stories Press,nan,nan,Hello Cruel World,190,nan,0,47.666666666666664,2006
1592289444,Slavomir Rawicz,The Lyons Press,nan,nan,The Long Walk,256,nan,1.2,53.09090909090909,2006
1586216880,Nelson Mandela,Hachette Audio,nan,nan,Long Walk to Freedom,nan,nan,0.0,40.785714285714285,2004
034911630X,Nelson Mandela,Abacus,nan,nan,A Long Walk to Freedom,480,nan,0.0,40.785714285714285,2003
1886363064,"Holdsworth, William Searle Sir",Lawbook Exchange,823/.8,PR4592.L3 H6 1995,Charles Dickens as a legal historian,157,"Union, N.J",25.0,0.5454545454545454,1996
8495618877,Elizabeth Kostova,Umbriel,nan,nan,La Historiadora / The Historian,704,nan,0,7.166666666666667,2005
1415929017,Elizabeth Kostova,Books on Tape,nan,nan,The Historian,nan,nan,0,14.2,2005
140004684X,Robert Baer,Three Rivers Press,327.1273/0092,JK468.I6 B34 2002c,See no evil,292,New York,35.0,30.055555555555557,2002
079227363X,National Geographic Society,National Geographic,nan,nan,In Focus,504,nan,35.0,0.0,2004
1584281340,Jeff Smith,Amherst Media,nan,nan,Posing for Portrait Photography,128,nan,0,0.0,2004
2266082655,Oscar Wilde,Pocket,nan,nan,Le portrait de Dorian Gray,345,nan,0,0.0,1999
1842163868,Elizabeth Gray,Express Publishing,nan,nan,The Portrait of Dorian Gray,32,nan,0,0,2000
1842161903,Jenny Dooley,Express Publishing,nan,nan,The Portrait of Dorian Gray,51,nan,0,0,1999
074326407X,Eliza Gaynor Minden,Simon & Schuster,792.8,GV1788 .M56 2005,The ballet companion,331,New York,0,55.666666666666664,2005
044844013X,Katharine Holabird,Grosset & Dunlap,nan,nan,Angelina's Ballet Class,24,nan,0,0.0,2006
081301395X,John White,University Press of Florida,792.8/07,GV1788.5,Teaching classical ballet,183,Gainesville,0,0.0,1996
9500717638,Isabelle Allende,Sudamericana,nan,nan,La Casa de Los Espiritus,456,nan,0,0,2000
9871138903,Isabelle Allende,Debolsillo,nan,nan,La Casa de Los Espiritus,nan,nan,0,0,2004
1902602323,Marian Keyes,New Island Books,nan,nan,No Dress Rehearsal (Open Door Series II),64,nan,0,5.0,2000
1421504618,Hiromu Arakawa,VIZ Media LLC,nan,nan,Fullmetal Alchemist Volume 10,208,nan,0,4.666666666666667,2006
1421501759,Hiromu Arakawa,VIZ Media LLC,nan,nan,Fullmetal Alchemist Volume 5,192,nan,0,4.666666666666667,2006
1400043182,Isabel Allende,Everyman's Library,nan,PQ8098.1.L54 C313 2005,The house of the spirits,488,New York,0.0,51.9,2005
1857152816,Isabel Allende,Everyman's Library,nan,nan,The House of the Spirits (Everyman's Library Contemporary Classics),520,nan,0.0,51.9,2005
1932206108,Frederick Lenz,Frederick P. Lenz Foundation for American Buddhism,nan,BQ5625 .L46 2004,How to meditate,228,"Beverly Hills, CA",0,112.4,2004
1932206086,Frederick Lenz,Frederick P. Lenz Foundation for American Buddhism,nan,BQ5675 .L43 2003,Insights,304,"Beverly Hills, CA",0,1.0,2003
1842430343,Tom Robbins,No Exit Press,nan,nan,Skinny Legs and All,432,nan,16.8,0.0,2002
039332690X,Rupa Bajwa,W. W. Norton & Company,nan,nan,The Sari Shop,240,nan,0.0,10.25,2005
044024191X,Sophie Kinsella,Dell,813/.54,nan,Shopaholic & sister,385,New York,0,5.6,2006
1573223204,Nuala O'Faolain,Riverhead Books,364.1/092,HV6248.D85 O43 2005,The Story of Chicago May,307,"New York, NY",0,67.83333333333333,2005
067942895X,Maya Angelou,Random House,811/.54,PS3551.N464 A17 1994,The complete collected poems of Maya Angelou.,273,New York,0,1.6,1994
1559343567,Christopher Biffle,Mayfield Pub. Co.,184,B317 .B53 1995,A guided tour of five works by Plato,125,"Mountain View, Calif",0,0,1995
080755538X,Gertrude Chandler Warner,Albert Whitman & Company,nan,nan,The Midnight Mystery (Boxcar Children Mysteries),128,nan,0,402.0,2003
1595542329,Karen Kingsbury,Thomas Nelson,nan,nan,A Time to Embrace (Women of Faith Fiction #6) (Sequel to A Time to Dance),400,nan,0,402.0,2006
080282966X,William Stacy Johnson,Wm. B. Eerdmans Publishing Company,nan,nan,A Time to Embrace,330,nan,0,167.0,2006
034546401X,Amy Tan,Ballantine Books,nan,nan,Saving fish from drowning,496,New York,1.0,20.46153846153846,2006
840806701X,Amy Tan,Planeta,nan,nan,Un Lugar Llamado Nada / Saving Fish from Drowning,475,nan,0,0,2006
014101380X,John Martin Russell,Penguin Books Ltd,nan,nan,Measure for Measure,224,nan,0.0,0.6470588235294118,2005
037571457X,Marjane Satrapi,Pantheon,nan,nan,Persepolis,nan,New York,3.0,6.0,2003
2844141048,Marjane Satrapi,L'Association,nan,nan,Persepolis 3,96,nan,3.0,28.666666666666668,2002
2844140580,Marjane Satrapi,L'Association,nan,nan,Persépolis.,nan,Paris,7.5,13.285714285714286,2000
853590638X,nan,Companhia das Letrinhas,nan,nan,Persépolis - 2,nan,nan,0,0,2005
078683787X,Dave Barry,Disney Editions,nan,nan,Peter and the Shadow Thieves,557,nan,0,17.3,2006
1400061032,"Pearl, Matthew",Random House,813/.6,PS3616.E25 P64 2006,The Poe shadow,nan,New York,0,3.5,2006
1595550445,David Horowitz,Nelson Current,nan,JK275 .H728 2006,The shadow party,281,"Nashville, Tenn",35.0,3.0,2006
006062213X,Elisabeth Elliot,Harper & Row,266/.0092,BV2852.E45 E45 1989,Shadow of the Almighty,256,San Francisco,17.5,0.25,1989
184243022X,Tom Robbins,No Exit Press,nan,nan,Still Life with Woodpecker,277,nan,0,56.72727272727273,2001
184243036X,Tom Robbins,No Exit Press,nan,nan,Half Asleep in Frog Pajamas,386,nan,0,0.6666666666666666,2002
3499134977,Tom Robbins,Rowohlt Tb.,nan,nan,Salomes siebter Schleier.,558,nan,16.8,0.0,1995
3499156717,Tom Robbins,Rowohlt Tb.,nan,nan,PanAroma. Jitterbug Perfume.,443,nan,0,0,1985
3499154293,Tom Robbins,Rowohlt Tb.,nan,nan,Ein Platz für Hot Dogs. Another Roadside Attraction.,376,nan,0,0,1997
3499224429,Tom Robbins,Rowohlt Tb.,nan,nan,Halbschlaf im Froschpyjama.,485,nan,0,0,1998
038533351X,Kurt Vonnegut,Dial Press Trade Paperback,nan,nan,Bluebeard,336,nan,0,81.8,1998
051712436X,Kurt Vonnegut,Wings Books,813/.54,PS3572.O5 A6 1995,Three complete novels,nan,New York,0,0.0,1995
1877741094,Ray Bradbury,Joshua Odell Editions,nan,nan,Zen in the art of writing,176,"Santa Barbara, [Calif.]",0,0.3333333333333333,1996
1585425001,Erica Jong,Tarcher,nan,nan,Parachutes  &  Kisses,416,nan,0,102.66666666666667,2006
1585425249,Erica Jong,Tarcher,nan,nan,Fear of Fifty,352,nan,0,0.4,2006
1585424994,Erica Jong,Tarcher,nan,nan,How to Save Your Own Life,336,nan,17.0,13.88888888888889,2006
1585425494,Erica Jong,Tarcher,nan,nan,Any Woman's Blues,384,nan,0,28.5,2006
1585425540,Erica Jong,Jeremy P. Tarcher/Penguin,305.40973,HQ1150 .J66 2007,What do women want?,nan,New York,35.0,4.2,2007
1559362154,Jessica Tarahata Hagedorn,Theatre Communications Group,812/.54,PS3558.A3228 D64 2003,Dogeaters,121,New York,0.0,93.83333333333333,2003
1591829534,Haruko Iida,Tokyopop,nan,nan,Crescent moon.,148,"Los Angeles, CA",0,52.75,2005
140003468X,Gabriel Garcia Márquez,Vintage,863 G37l 2003,nan,Love in the time of cholera,348,New York,0.0,40.75,2003
9500703203,Gabriel Garcia Márquez,Sudamericana,nan,nan,El Amor En Los Tiempos Del Colera / Love in the Times of Cholera,456,nan,0,1.0,1987
097607267X,Mao Zedong,El Paso Norte Press,nan,nan,The Art of War by Mao Tse-Tung,328,nan,0,0,2005
1932806490,William G. Bogart [Kenneth Robeson],Nostalgia Ventures,nan,nan,Doc Savage,128,nan,0,0,2006
3446151524,Italo Calvino,Carl Hanser,nan,nan,Cosmicomics.,417,nan,6.0,115.4,1989
1400042828,Alice Munro,Knopf,nan,nan,The view from Castle Rock,349,New York,2.0,7.222222222222222,2006
1400040612,Jane Smiley,Knopf,nan,nan,Ten Days in the Hills,464,nan,5.0,23.0,2007
849793296X,Jonathan Lethem,nan,nan,nan,Huerfanos De Brooklyn/ Motherless Brooklyn,365,nan,0,0,nan
1400102952,春樹 村上,Tantor Media,nan,nan,"Blind Willow, Sleeping Woman",nan,nan,0,14.5,2006
1400044618,春樹 村上,Knopf,895.6/35,PL856.U673 A23 2006,"Blind window, sleeping woman",nan,New York,0,0.3333333333333333,2006
055313888X,nan,Bantam,nan,nan,Crying of Lot 49,nan,nan,0,0,1980
081297235X,Curtis Sittenfeld,Random House Trade Paperbacks,813/.6,PS3619.I94 P74 2005,Prep,420,New York,12.5,2.6,2005
8426415164,Jonathan Safran Foer,Lumen Espana,nan,nan,"Tan Fuerte, Tan Cerca / Extremely Loud & Incredibly Close",441,nan,0,0,2005
009959241X,Salman Rushdie,Vintage,nan,nan,The Moor's last sigh,434,London,1.5,43.411764705882355,1996
8497598369,Salman Rushdie,nan,nan,nan,Los Versos Satanicos,679,nan,9.222222222222221,32.888888888888886,2003
041377242X,Denis Johnson,Methuen,nan,nan,Jesus' Son,192,nan,0,0.0,2004
067978148X,Bret Easton Ellis,Vintage Contemporaries,813/.54,PS3555.L5937 R8 1998,The rules of attraction,283,New York,2.0,60.142857142857146,1998
3462030531,Bret Easton Ellis,Kiepenheuer & Witsch,nan,nan,Die Informanten.,257,nan,0,0,2001
1581821360,Marie Rudisill,Cumberland House,813/.54,PS3505.A59 Z867 2000,The southern haunting of Truman Capote,135,"Nashville, Tenn",0.2,19.5,2000
1594201080,Ian Buruma,"Penguin Press HC, The",nan,nan,Murder in Amsterdam,288,nan,1.0,14.764705882352942,2006
3804417353,Hermann Hesse,Bange,nan,nan,"Königs Erläuterungen und Materialien, Bd.86, Narziß und Goldmund",87,nan,0,0,2001
3518373900,Hermann Hesse,Suhrkamp,nan,nan,Gertrud,nan,Frankfurt am Main,0,75.44444444444444,1983
3423026448,Franz Kafka,Dtv,nan,nan,Der Prozeß.,309,nan,0,0.0,1998
3442730503,春樹 村上,Btb Bei Goldmann,nan,nan,Naokos Lächeln. Nur eine Liebesgeschichte.,428,nan,0,0,2003
3596505224,Milan Kundera,"Fischer (Tb.), Frankfurt",nan,nan,Die unerträgliche Leichtigkeit des Seins. Jubiläums- Edition.,300,nan,0,0,2002
3596130883,Milan Kundera,Fischer Taschenbuch Verlag GmbH,nan,nan,Die Langsamkeit,150,nan,0,0,1998
3596106729,Milan Kundera,"Fischer (Tb.), Frankfurt",nan,nan,Die Unsterblichkeit. Roman,415,nan,0,0,1992
3596151287,Milan Kundera,"Fischer (Tb.), Frankfurt",nan,nan,Die Unwissenheit.,179,nan,0,0,2002
4805302380,nan,Charles E. Tuttle,nan,nan,"Friends, a Play By Kobo Abe",nan,nan,0,0,1986
1582346437,Douglas Coupland,Bloomsbury USA,nan,nan,Eleanor Rigby,272,nan,0,40.642857142857146,2006
3486099213,Reinhard Meurer,Oldenbourg,nan,PT2611.R814 H635,"Max Frisch, Homo faber",109,München,0,0,1977
3804417833,Max Frisch,Bange,nan,nan,Homo Faber. Erläuterungen und Materialien. (Lernmaterialien),104,nan,0,0,2002
3518010875,Max Frisch,Suhrkamp,833.914,nan,Homo faber,nan,Frankfurt,0,134.0,1979
3458340440,Max Frisch,"Insel, Frankfurt",nan,nan,Homo faber. Großdruck. Ein Bericht.,nan,nan,0,0,1995
1400076323,Jean-Paul Sartre,Vintage,nan,nan,The Philosophy of Jean-Paul Sartre,512,nan,0,0.5,2003
184391400X,Jean-Paul Sartre,HESPERUS PRESS,nan,nan,WALL; TRANS. BY ANDREW BROWN.,nan,LONDON,0,0,nan
3492207006,Sten Nadolny,Piper,nan,nan,Die entdeckung der Langsamkeit,358,Munchen,0,0.0,2001
3423026189,Theodor Storm,Dtv,nan,nan,Der Schimmelreiter. Berlin 1888.,187,nan,0,0,1997
1594481938,Nick Hornby,Penguin,nan,nan,Long Way Down,nan,nan,0,0,2006
185549695X,Philip Pullman,BBC Audiobooks,nan,nan,Clockwork (Cover to Cover),nan,nan,0,0,2002
038531129X,Antonia Fraser,Delta Trade Paperbacks,941.105/092,DA787.A1 F74 2001,"Mary, Queen of Scots",613,New York,14.5,19.0,2001
043999926X,Margaret Simpson,Scholastic Hippo,nan,nan,Mary Queen of Scots and Her Hopeless Husbands (Dead Famous),208,nan,0,167.0,2001
1841490644,Tad Williams,Orbit,nan,nan,Otherland,1312,nan,0,94.33333333333333,2002
1857237641,Tad Williams,Orbit,nan,nan,Otherland,816,nan,0,94.33333333333333,1999
1860645887,Jenny Wormald,Tauris Parke Paperbacks,941.105/092,DA787.A1 W76 2001,"Mary, Queen of Scots",208,London,8.0,64.5,2001
034543708X,Alison Weir,Ballantine Books,nan,nan,Henry VIII,656,nan,25.0,36.857142857142854,2002
3499222507,春樹 村上,Rowohlt Tb.,nan,nan,Wie ich eines schönen Morgens im April das 100%ige Mädchen sah.,nan,nan,0,0,1998
3442727952,春樹 村上,btb,nan,nan,Gefährliche Geliebte,217,nan,0,0,2002
3518396978,春樹 村上,Suhrkamp,nan,nan,Hard-boiled Wonderland und das Ende der Welt.,nan,nan,0,0,2000
1593080344,Arthur Conan Doyle,Barnes & Nobel Classics,823/.8,PR4621 2003,"The Complete Sherlock Holmes, Volume I",nan,"New York, NY, USA",19.666666666666668,16.4,2003
1853262455,Arthur Conan Doyle,Wordsworth,823.912,nan,The lost world,461,Ware,3.0,38.5,1995
189491712X,Mary Jane Maffini,Napoleon Publishing,nan,nan,The Devil's in the Details,314,nan,0,167.0,2004
