Voyages and travels,5
Kurt Austin (Fictitious character),5
In Library,5
Human trafficking,5
Queens,5
Time travel,5
Isaac Bell (Fictitious character),5
Girls,5
Middle-aged men,5
Political corruption,5
nyt:hardcover_fiction=2010-08-29,5
Male friendship,5
Special operations (Military science),5
Virgil Flowers (Fictitious character),5
Women sculptors,5
"Afghan War, 2001-",5
Space Opera,5
FICTION / Fantasy / Contemporary,5
Human-alien encounters,5
FICTION / Sagas,5
FICTION / Science Fiction / General,5
Grief,5
Crime,5
Cooks,4
Mediums,4
Odd Thomas (Fictitious character),4
Married women,4
Supernatural,4
Barbara Havers (Fictitious character),4
Thomas Lynley (Fictitious character),4
Paul Madriani (Fictitious character),4
Art,4
Kings and rulers,4
Juan Cabrillo (Fictitious character),4
Older women,4
Humor (Fiction),4
Wives,4
Family,4
Joanna Brady (Fictitious character),4
Psychics,4
Romantic suspense fiction,4
Police spouses,4
Businesswomen,4
Family-owned business enterprises,4
Sean Dillon (Fictitious character),4
Temperance Brennan (Fictitious character),4
Shannara (Imaginary place),4
"Detective Rizzoli, Jane (Fictitious character)",4
crime,4
murder,4
Computer hackers,4
Bob Lee Swagger (Fictitious character),4
Runaway teenagers,4
Lawyers,4
Harry Bosch (Fictitious character),4
Psychologists,4
Harry Haristeen (Fictitious character),4
Cats,4
Mrs. Murphy (Fictitious character),4
Wilderness areas,4
Knitters (Persons),4
Knitting,4
Cotton Malone (Fictitious character),4
Bodyguards,4
Soldiers,4
Theft,4
Celebrities,4
Rich,4
Abandoned children,4
Wizards,4
Caterers and catering,4
Anna Pigeon (Fictitious character),4
Hostages,4
Cancer,4
Ex-convicts,4
Marine scientists,4
Novela,4
Reporters and reporting,4
Antiquities,4
Drizzt Do'Urden (Fictitious character),4
Divorced women,4
Teenage boys,4
Angels,4
Imaginary places,4
Kinsey Millhone (Fictitious character),4
Secret service,4
United States. Office of Strategic Services,4
Murder victims' families,4
Upper class,4
Abduction,4
Joe Pickett (Fictitious character),4
Game wardens,4
Virus diseases,4
War,4
Identity,4
nyt:hardcover_fiction=2010-09-12,4
nyt:hardcover_fiction=2010-09-05,4
nyt:hardcover_fiction=2010-09-19,4
nyt:hardcover_fiction=2010-09-26,4
Mother and child,4
Mickey Haller (Fictitious character),4
Facial reconstruction (Anthropology),4
Women intelligence officers,4
nyt:hardcover_fiction=2011-07-30,4
Motherhood,4
FICTION / Romance / Paranormal,4
Forensic psychologists,4
Paranormal,4
Harry Hole (Fictitious character),4
Motion pictures,4
nyt:hardcover_fiction=2012-02-18,4
nyt:hardcover_fiction=2012-01-07,4
FICTION / Horror,4
Future life,4
nyt:hardcover_fiction=2011-10-29,4
Production and direction,4
FICTION / Science Fiction / Space Opera,4
FICTION / Science Fiction / Adventure,4
Special forces (Military science),4
Walking,4
Official secrets,4
Choice,4
War & Military,4
Occult fiction,3
Motion picture actors and actresses,3
Parent and child,3
Political crimes and offenses,3
Mercenary troops,3
Lincoln Rhyme (Fictitious character),3
Motion picture industry,3
Psychiatrists,3
Grandmothers,3
"Love stories, American",3
Dave Robicheaux (Fictitious character),3
Family secrets in fiction,3
Taliban,3
United States. Navy. SEALs,3
Star Wars fiction,3
Reincarnation,3
Traffic accident victims,3
Wounds and injuries,3
Art thefts,3
Contemporary Romance,3
Presidents' spouses,3
Reminiscing,3
Susan Ward (Fictitious character),3
Archie Sheridan (Fictitious character),3
Television personalities,3
United States. Supreme Court,3
American fiction,3
Fantasy fiction,3
Hackers,3
Lisbeth Salander (Fictitious character),3
Mikael Blomqvist (Fictitious character),3
Nineteen fifties,3
Dune (Imaginary place),3
Alex Hawke (Fictitious character),3
Women philosophers,3
Marines,3
Runaways,3
Adaptations,3
Mitch Rapp (Fictitious character),3
Space ships,3
Mafia,3
Priests,3
Meredith Gentry (Fictitious character),3
Women private investigators in fiction,3
Gangsters,3
African American men,3
Women cat owners,3
horror,3
American Horror tales,3
Short Stories (single author),3
Criminals,3
Telepathy,3
Fictional Works,3
Lottery winners,3
Dirk Pitt (Fictitious character),3
United States. Army. Delta Force,3
Michael Bennett (Fictitious character),3
Mercy Thompson (Fictitious character),3
Violence against,3
Maisie Dobbs (Fictitious character),3
Honor Harrington (Fictitious character),3
Women soldiers,3
Japanese Americans,3
Brothers in fiction,3
Large print books,3
Millionaires,3
Midkemia (Imaginary place),3
Government investigators in fiction,3
British,3
Monks,3
United States. in fiction,3
literature,3
suspense fiction,3
Dismas Hardy (Fictitious character),3
Abe Glitsky (Fictitious character),3
Race relations,3
Sara Linton (Fictitious character),3
Ghost stories,3
J. P. Beaumont (Fictitious character),3
adventure,3
College teachers,3
Spouses,3
Dreams,3
Nineteen sixties,3
Armand Gamache (Fictitious character),3
American Occult fiction,3
American Paranormal fiction,3
Discworld (Imaginary place),3
Interplanetary voyages,3
Boardinghouses,3
Rescues,3
Sabotage,3
Ship captains,3
Pirates,3
Joe Pike (Fictitious character),3
Serge Storms (Fictitious character),3
Murder victims,3
High school students,3
Single women,3
Guilt,3
Nuns,3
Country life,3
Suburban life,3
Vacations,3
Everett Hitch (Fictitious character),3
Virgil Cole (Fictitious character),3
nyt:trade_fiction_paperback=2011-05-14,3
nyt:hardcover_fiction=2010-07-09,3
nyt:hardcover_fiction=2010-08-15,3
Epic,3
nyt:hardcover_fiction=2010-08-22,3
nyt:mass_market_paperback=2011-07-30,3
mystery,3
Politicians,3
Gossip,3
Humorous fiction,3
Forensic scientists,3
Community life,3
Boys,3
nyt:mass_market_paperback=2011-10-01,3
Twentieth century,3
nyt:mass_market_paperback=2011-09-03,3
Russians,3
nyt:combined_print_fiction=2011-05-28,3
Islam,3
Husband and wife,3
nyt:mass_market_paperback=2011-12-24,3
Magicians,3
Rachel Morgan (Fictitious character),3
Demonology,3
Guido Brunetti (Fictitious character),3
Officers,3
African Americans,3
Husbands,3
Traffic accidents,3
Deception,3
Artificial intelligence,3
nyt:hardcover_fiction=2011-08-06,3
Maura Isles (Fictitious character),3
nyt:hardcover_fiction=2011-08-27,3
nyt:hardcover_fiction=2011-09-03,3
Cork O'Connor (Fictitious character),3
Baseball players,3
nyt:hardcover_fiction=2011-09-10,3
nyt:hardcover_fiction=2011-10-15,3
Air pilots,3
Children,3
nyt:hardcover_fiction=2011-12-31,3
United States. Army Criminal Investigation Command,3
nyt:hardcover_fiction=2011-12-03,3
nyt:hardcover_fiction=2012-02-11,3
nyt:hardcover_fiction=2012-01-14,3
nyt:hardcover_fiction=2012-01-28,3
FICTION / Mystery & Detective / Police Procedural,3
Prostitutes,3
nyt:hardcover_fiction=2012-03-03,3
Prohibition,3
FICTION / Action & Adventure,3
Jealousy,3
False imprisonment,3
FICTION / Humorous,3
FICTION / Mystery & Detective / Women Sleuths,3
