Date,GT_SearchIndex
"Jul 5 – 11, 2015",26
"Jul 12 – 18, 2015",85
"Jul 19 – 25, 2015",60
"Jul 26 – Aug 1, 2015",13
"Aug 2 – 8, 2015",78
"Aug 9 – 15, 2015",45
"Aug 16 – 22, 2015",38
"Aug 23 – 29, 2015",37
"Aug 30 – Sep 5, 2015",37
"Sep 6 – 12, 2015",25
"Sep 13 – 19, 2015",30
"Sep 20 – 26, 2015",12
"Sep 27 – Oct 3, 2015",47
"Oct 4 – 10, 2015",12
"Oct 11 – 17, 2015",36
"Oct 18 – 24, 2015",12
"Oct 25 – 31, 2015",47
"Nov 1 – 7, 2015",29
"Nov 8 – 14, 2015",29
"Nov 15 – 21, 2015",52
"Nov 22 – 28, 2015",51
"Nov 29 – Dec 5, 2015",51
"Dec 6 – 12, 2015",68
"Dec 13 – 19, 2015",71
"Dec 20 – 26, 2015",55
"Dec 27, 2015 – Jan 2, 2016",100
"Jan 3 – 9, 2016",44
"Jan 10 – 16, 2016",67
"Jan 17 – 23, 2016",54
"Jan 24 – 30, 2016",43
"Jan 31 – Feb 6, 2016",43
"Feb 7 – 13, 2016",33
"Feb 14 – 20, 2016",33
"Feb 21 – 27, 2016",28
"Feb 28 – Mar 5, 2016",33
"Mar 6 – 12, 2016",38
"Mar 13 – 19, 2016",43
"Mar 20 – 26, 2016",30
"Mar 27 – Apr 2, 2016",49
"Apr 3 – 9, 2016",43
"Apr 10 – 16, 2016",24
"Apr 17 – 23, 2016",19
"Apr 24 – 30, 2016",38
"May 1 – 7, 2016",38
"May 8 – 14, 2016",29
