date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2009-01-04,0316017922,0446407410,1400063256,0767928822,0385526563,0310289025,0374166854,0670031607,0553805096,1595230548,1439130728,0316143472,1579127495,0375505105,1439102252,0316045608,0061547751,0316035904,1400066123,1594201927
2009-01-11,0316017922,0446407410,1400063256,0767928822,0385526563,0310289025,0670031607,0374166854,0553805096,1595230548,0316143472,1439130728,1439102252,0307455874,0375505105,1416954120,1400066123,0393071014,006075401X,0316045608
2009-01-18,0316017922,0446407410,1400063256,0310289025,0670031607,0767928822,1439102252,0374166854,0385526563,0553805096,0393071014,1594201927,1416954120,1595230548,1400066123,0316045608,0316143472,0670020745,0393065146,1439130728
2009-01-25,0316017922,030735346X,0446407410,1400063256,0385526563,1439102252,0374166854,0670031607,0310289025,0767928822,0393071014,1416954120,0151014892,0553805096,1594201927,0316045608,0316143472,1400063515,0393065146,1594201455
2009-02-01,0316017922,030735346X,0446407410,0385526563,1400063256,0670031607,0316045608,0767928822,0374166854,1594201927,0310289025,1439102252,0307407926,0393071014,0151014892,1416954120,0061125350,0553805096,0061456217,1400063515
2009-02-08,0316017922,030735346X,0446407410,0670031607,1400063256,0310289025,0316045608,0307455874,1400082773,0385526563,0151014892,1594201927,038552501X,0374166854,1416954120,0767928822,1400064996,160320072X,1439102252,0307407926
2009-02-15,0316017922,1596980907,0446407410,030735346X,038551705X,0310289025,1439140634,1400063256,0374166854,0670031607,1594201994,0151014892,038552501X,0385526563,0316045608,1416954120,0767928822,1594201927,1400082773,0307407926
2009-02-22,0385527403,0316017922,0446407410,1596980907,0310289025,030735346X,038551705X,0767928822,1400063256,1594201994,0670031607,0393071014,1416954120,0385526563,0143116428,1401322859,1439102252,1594201927,0151014892,1400064996
2009-03-01,0385527403,0316017922,0446407410,1596980907,0310289025,1594201978,0143116428,030735346X,0767928822,1400064996,0670031607,1594201994,0385526563,1400063256,0307405850,1596985879,038551705X,1416954120,0393071014,0618620117
2009-03-08,0385527403,0316017922,1594488932,0446407410,1594201978,0143116428,0310289025,038551705X,1596980907,0307405850,1596985879,0618620117,0670031607,1400064996,159420182X,0767928822,030735346X,1416954120,0374166854,1594201994
2009-03-15,0385527403,0316017922,0446407410,0385513534,0061769525,0310289025,1439138176,1594488932,0767928822,0143116428,1594201978,038551705X,1596980907,1416954120,1596985879,0670031607,0307405850,030735346X,0618620117,0393071014
2009-03-22,0316017922,0385527403,0061769525,0385513534,0446407410,1416954120,0767928822,0061173932,1594488932,0618620117,0310289025,1594201978,1596980907,1596985879,0143116428,038551705X,1594201994,0670031607,0385526563,0307405850
2009-03-29,0316017922,0385528264,0385527403,0061769525,0446407410,0385513534,0767932307,0767928822,0061730416,1594202028,1414319312,1596985879,1416954120,0061173932,1400067731,0307405850,159420182X,038551705X,0310289025,0312376537
2009-04-05,0316017922,0767932307,0385528264,0385527403,0385513534,0061730416,1414319312,0446407410,0767928822,1594202028,0061769525,1416954120,0307405850,038551705X,0310289025,0061173932,0618620117,1596985879,1400067731,1596980907
2009-04-12,1416562850,0316017922,0385528264,0767932307,0385527403,0385513534,0767928822,1439110077,0446407410,0061730416,0061173932,0618620117,1416954120,1414319312,1400067731,1416936017,0307405850,0061769525,0374166854,0805088105
2009-04-19,1416562850,1401303382,0316017922,0385528264,0385527403,0767932307,0385513534,0767928822,0312376316,0446407410,0061173932,0061730416,1416954120,0312377452,1439110077,0451226380,1414319312,0618620117,0316118087,0310289025
2009-04-26,1416562850,1401303382,0316017922,0385528264,0767932307,0385527403,0446546933,0767928822,0385513534,0061730416,0312376316,1416954120,0061173932,0446407410,0451226380,0758229631,0312377452,0316118087,1596985879,0743294114
2009-05-03,1416562850,1401303382,0316017922,141659910X,0446546933,0385528264,0451226380,0345512065,0767928822,0385527403,1416954120,1416580557,0385513534,0061173932,1599951355,0767932307,0061730416,0316008230,1439102856,1414319312
2009-05-10,1416562850,0316017922,0446546933,1401303382,1592404456,141659910X,0385528264,0767928822,0385527403,1416954120,1416580557,0451226380,0767932307,0385513534,1599951355,1594202168,0345512065,0061173932,1583333304,0316008230
