ISBN,Author,Publisher,Publish Date
0061706558,William Morrow,2010,Laura Lippman
0525951776,Dutton,2010,Stephen White
0525950583,Dutton Adult,"August 24, 2010",Eric Jerome Dickey
1439102392,Scribner,2010,Kathy Reichs
0345484177,Del Rey,2010,Terry Brooks
0345516109,Ballantine Books,2010,Anne Fortier
0425236595,Berkley Hardcover,"August 31, 2010",Christine Feehan
0399156763,Putnam,2010,Clive Cussler
0765326353,Tor,August 31st 2010,Brandon Sanderson
0399156747,Putnam,2010,Sara Paretsky
0312303785,St. Martin's,2010,Jennifer Crusie
0312546564,St. Martin's Press,"August 3, 2010",Sherrilyn Kenyon
0670022047,Viking,2010,Terry McMillan
0385523211,Spiegel & Grau,2010,Sara Gruen
0399156828,Putnam,2010,William F. Gibson
0451463528,Roc Hardcover,"September 7, 2010",S. M. Stirling
0385532350,Doubleday,2010,Jeff Lindsay
044654759X,Grand Central Publishing,2010,Nicholas Sparks
0312652917,St. Martin's Press,2010,Janet Evanovich
006185929X,William Morrow,2010,Ted Bell
0316098337,"Little, Brown and Co.",2010,Emma Donoghue
1414334095,Tyndale House Publishers,2010,Francine Rivers
0312593317,St. Martin's Press,2010,Tatiana de Rosnay
0399156909,G.P. Putnam's Sons,2010,John Sandford
0385342047,Dial Press,2010,Sophie Kinsella
0061558222,William Morrow,2010,Some Random Author
0399156917,G.P. Putnams Sons,2010,Stuart Woods
0061782424,HarperOne,2010,Deepak Chopra
0525951652,Dutton,2010,Ken Follett
0316036234,"Little, Brown and Co.",2010,James Patterson
0316038393,"Little, Brown and Company","September 28, 2010",David Sedaris
1401324029,Hyperion,2010,Richard Castle
0385343132,Delacorte Press,2010,Danielle Steel
0778328198,Mira Books,2010,Debbie Macomber
006196963X,HarperCollins Publishers,2010,Bernard Cornwell
0765324121,Tor,2010,David Weber
0316069485,"Little, Brown",2010,Michael Connelly
0399156852,G.P. Putnams Sons,2010,Robert B. Parker
1439150036,Simon & Schuster,2010,Richard J. Evans
0786955007,Wizards of the Coast,2010,R. A. Salvatore
0399156755,G.P. Putnams Sons,2010,Catherine Coulter
141659518X,Pocket Books,2010,Vince Flynn
0670022241,Viking,2010,John le Carré
0547318359,Houghton Mifflin Harcourt,2010,Philip Roth
0385344317,Delacorte Press,2010,Lee Child
0670022128,Viking,2010,Jan Karon
141431163X,Tyndale,2010,Joel C. Rosenberg
0312651198,St. Martin's Press,2010,Iris Johansen
039915678X,G.P. Putnams Sons,2010,Stephen R. Donaldson
0525951849,Dutton,2010,Raymond Khoury
1439133948,Baen,2010,Lois McMaster Bujold
0385528043,Knopf Doubleday Publishing Group,2010,John Grisham
045146365X,Roc/New American Library,2010,Jim Butcher
1416550747,Gallery Books,2010,Christie Golden
0312605862,St. Martin's Press,2010,Lisa Kleypas
0765325942,Tor,2010,Robert Jordan
0399156879,Putnam,November 2010,J. D. Robb
0061836923,William Morrow,2010,Dennis Lehane
1439156352,Simon & Schuster,2010,Jeffrey Deaver
0312600844,"Farrar, Straus and Giroux",2010,Jonathan Franzen
0446195529,Grand Central Pub.,2010,David Baldacci
1439192561,Scribner,2010 November,Stephen King
1400065933,Random House Inc,2010,Fannie Flagg
1439152780,Atria Books,2010,Kate Morton
0312591071,Thomas Dunne,2010,Newt Gingrich
031603617X,"Little, Brown and Co.",2010,James Patterson
039915714X,G. P. Putnam's Sons,2010,Clive Cussler
0345505492,Ballantine Books,2010,Steve Berry
1439192952,Atria Books,2010,Brad Thor
0446573647,Grand Central Pub.,2010,Steve Martin
0399157212,G.P. Putnam's Sons,2010,Patricia Daniels Cornwell
0316020729,"Little, Brown and Co.",2010,Anita Shreve
034550920X,Del Rey,2010,Troy Denning
0399157239,Penguin Group USA,2010,Tom Clancy
0553807722,Bantam,2010,Dean Ray Koontz
0399156836,G.P. Putnams Sons,2010,William E. Butterworth (W.E.B.) Griffin
052595192X,Dutton,2010,Tami Hoag
0399157026,G.P. Putnam's Sons,2010,Jayne Ann Krentz
1439138656,Simon & Schuster,2010,Stephen Hunter
1402785925,Silver Oak,2011,Anders Roslund
0525951768,Dutton,2011,John T. Lescroart
0399156844,Putnam,2011,Jack Higgins
0765323966,Tor,2011,Greg Bear
0446577898,Grand Central Pub.,2011,Brad Meltzer
0399157077,G. P. Putnam's Sons,2011,Robert Crais
1439164630,Gallery Books,2011,Lisa Genova
0670022179,Viking,2011,Kim Edwards
0385341679,Random House Inc,2010,Karen Marie Moning
0399157115,G.P. Putnam's Sons,2011,Stuart Woods
0061351520,HarperCollins,2011,Susan Elizabeth Phillips
0316037915,"Little, Brown and Co.",2011,James Patterson
0307393879,Shaye Areheart Books,2010,Alice Hoffman
0061876895,William Morrow,2011,Tim Dorsey
0399157220,Putnam Adult,2011,Eleanor Brown
1416563814,Simon & Schuster,2011,J. A. Jance
0756406609,Penguin Group USA,2011,Kristen Britain
0312559119,Minotaur Books,2011,Dana Stabenow
0670022411,Viking,2011,Deborah E. Harkness
0399157085,Penguin Group USA,2011,Alex Berenson
0385342322,"Random House Publishing Group, bantam books paperback edition",2011,Alan Bradley
0307263991,Alfred A. Knopf,2011,Karen Russell
031258752X,St. Martin's Press,2011,Michael Palmer
0446575968,Grand Central,2011,James Redfield
0399157034,G.P. Putnam's Sons,2011,Nora Roberts
0061138061,Eos,2011,Kim Harrison
044656432X,Grand Central Pub.,2011,Douglas J. Preston
0525952039,Dutton,2011,Jennifer Chiaverini
0345521307,Ballantine Books,2011,Paula McLain
0399157050,Penguin Group USA,2011,Randy Wayne White
0758234910,Kensington Pub Corp,2011,Joanne Fluke
0756404738,DAW Books,2011,Patrick Rothfuss
1439102724,Atria Books,2011,Jodi Picoult
0441019730,Ace,"March 1, 2011",Patricia Briggs
0307273563,Knopf,2011,Maeve Binchy
0451463781,Roc,2011,Anne Bishop
0312619766,Minotaur Books,2011,Chelsea Cain
0399157042,Penguin Group USA,2011,Clive Cussler
0553807250,Random House Inc.,2011,Lisa Gardner
0525952020,Dutton Adult,2011,Linda Fairstein
0385343833,The Dial Press,2011,Téa Obreht
0670022527,Viking Adult,2011,Jasper Fforde
0062009621,"Academia, the Centre for Islamic, Near, and Middle Eastern Studies, Planning & Publication",1987,Syed Habibul Haq Nadvi
0316097365,"Little, Brown and Co.",2011,James Patterson
0307717097,Shaye Areheart Books,2011,Taylor Stevens
0525952063,Penguin Group USA,2011,Harlan Coben
030737839X,Pantheon Books,2011,Alexander McCall Smith
0312364423,St. Martin's Press,2011,Kristin Hannah
0061727679,Harper,2011,Jacqueline Winspear
0399157352,Putnam Adult,2011,C. J. Box
0553807226,Bantam Books,2011,Sarah Addison Allen
0345521226,Random House Inc.,2011,Suzanne Brockmann
0345511387,Random House Inc.,2011,Paul S. Kemp
0802119794,Atlantic Monthly Press,2011,Donna Leon
0517580519,Crown,2011,Jean M. Auel
0451233166,Penguin Group USA,2011,J. R. Ward
0345505697,Ballantine Books,2011,Jonathan Kellerman
0307593495,Knopf,2011,Henning Mankell
0312667574,St. Martin's Press,2011,Francine Pascal
0316074233,"Little, Brown",2011,David Foster Wallace
0758225652,Kensington Books,2011,Lisa Jackson
0316069353,Little Brown & Co,2011,Michael Connelly
1439180962,Simon & Schuster,2011,Mary Higgins Clark
0385343140,Delacorte Press,2011,Danielle Steel
1439191379,Simon & Schuster,2011,Richard J. Evans
0061348155,William Morrow,2011,Diane Mott Davidson
1401324134,Hyperion,2011,Carolyn Hennesy
1439170282,Scribner,2011,Carol Higgins Clark
0399157441,G.P. Putnam's Sons,2011,Nora Roberts
031238078X,St. Martin's Press,2011,Lisa Scottoline
0307593916,Knopf,2011,Kyung-sook Shin
1439165351,Atria Books,2011,Sister Souljah
0553807080,Bantam,2011,Michael Gellatly
0446573108,Grand Central Publishing,2011,David Baldacci
0399157379,G.P. Putnam's Sons,2011,Amanda Quick
0312651201,St. Martin's Press,2011,Iris Johansen
159995334X,Center Street,2011,Ted Dekker
0399157360,Penguin Group USA,2011,Stuart Woods
0778329836,Mira,2011,Debbie Macomber
0446573256,Grand Central Pub.,2011,Sherrilyn Kenyon
0441020372,Ace Books,2011,Jack Campbell
0758227175,Kensington Pub. Corp.,2011,Fern Michaels
0441020313,Ace Hardcover,2011,Charlaine Harris
0316036269,"Little, Brown and Company","May 2, 2011",James Patterson
0399157263,G.P. Putnam's Sons,2011,Robert B. Parker
0670021040,Viking,2011,Geraldine Brooks
0451234383,New American Library,2011,Jen Lancaster
1439134324,Baen Books,2011,John Ringo
0399157387,G. P. Putnam's Sons,2011,John Sandford
0307595862,Knopf,"May 10, 2011",Jo Nesbø
0312567251,Thomas Dunne Books/St. Martin's Press,2011,Wilbur Smith
0312583729,St. Martin's Press,"May 10, 2011",Albert Brooks
0061989991,William Morrow & Co.,2011,Dale Brown
0345505514,Ballantine Books,2011,Steve Berry
0345497945,Ballantine Books,2011,Jeff Shaara
0345524497,Ballantine Books,2011,China Miéville
0345509102,Del Rey/Ballantine Books,2011,Aaron Allston
1416543031,Free Press,2011,Will Allison
140006712X,Random House,2011,Lisa See
0425242099,Berkley Sensation,2011,Nalini Singh
0061930237,William Morrow,2011,Steve Martini
0393078116,W.W. Norton & Co.,2011,David Ignatius
0425241130,Penguin,2011,Laurell K. Hamilton
0399157425,G. P. Putnam's Sons,2011,Clive Cussler
0062049801,Harper,2011,Ann Patchett
0312642695,St. Martin's Press,2011,Mary Kay Andrews
0385533853,Doubleday,2011,Daniel H. Wilson
0399157301,G.P. Putnam's Sons,2011,Tom Clancy
0446583146,Grand Central Publishing,2011,David Baldacci
0061961272,William Morrow,2011,Dorothea Benton Frank
1451620691,Simon & Schuster,2011,Jeffrey Deaver
0385521227,Random House,2011,Ann Brashares
0307595129,Alfred A. Knopf,2011,J. Courtney Sullivan
0062060554,HarperCollins,2011,S. J. Watson
0345527682,Bantam,2011,Janet Evanovich
0061784788,William Morrow,2011,James Rollins
031609966X,Reagan Arthur,2011,Elin Hilderbrand
0345528204,Delacorte Books,2011,Karin Slaughter
0316036218,"Little, Brown and Co.",2011,James Patterson
0374173958,"Sarah Crichton Books/Farrar, Straus and Giroux",2011,Lars Kepler
0345515501,Ballantine Books,2011,Tess Gerritsen
0061731153,William Morrow,2011,J. A. Jance
0385532725,Doubleday,2011,Barbara Delinsky
0553801473,Spectra,2011,George R.R. Martin
1451617720,Atria Books,2011,Jennifer Weiner
031265121X,St. Martin's Griffin,2011,Iris Johansen
0312380348,St. Martin's Press,2011,John Hart
0062072188,Harper,2011,Daniel Silva
0385340303,Delacorte Press,2011,Danielle Steel
0399157433,G. P. Putnam's Sons,2011,Catherine Coulter
0446564443,Grand Central Pub.,2011,Eric Lustbader
0446527890,Grand Central,2011,Anne Rivers Siddons
0345511255,Del Rey/Ballantine Books,2011,Timothy Zahn
045146379X,Penguin Group USA,2011,Jim Butcher
141658661X,Atria Books,2011,Brad Thor
0670022691,Viking,2011,Amor Towles
0525952209,Dutton,2011,Kelley Armstrong
0399157476,G. P. Putnam's Sons,2011,Felix Francis
0446554987,Grand Central Pub.,2011,Douglas J. Preston
0312546599,St. Martin's Press,2011,Sherrilyn Kenyon
0312365748,Minotaur Books,2011,C. J. Box
052595225X,Dutton,2011,Julie Garwood
0399157557,G. P. Putnam's Sons,2011,William E. Butterworth (W.E.B.) Griffin
0345509161,Del Rey/Ballantine Books/Lucasbooks,2011,Christie Golden
0670022314,Viking,2011,Lev Grossman
0765327724,St. Martin's Press,2011,Terry Goodkind
1439102414,Scribner,2011,Kathy Reichs
0345484207,Ballantine Books,2011,Terry Brooks
034552554X,Ballantine,2011,Vanessa Diffenbaugh
0316097543,"Little, Brown and Company",2011,James Patterson
0441019714,Ace Books,2011,Charlaine Harris
0312655452,Minotaur Boooks,2011,Louise Penny
0312358342,St. Martin's Press,2011,Tom Perrotta
031253955X,St. Martin's Press,2011,Jeffrey Archer
1439153957,Atria Books,2011,William Kent Krueger
0399157816,G. P. Putnam's Sons,2011,Clive Cussler
0425241971,Berkley Books,2011,Christine Feehan
034550691X,Ballantine Books,2011,Linda Howard
0316126691,"Little, Brown and Co.",2011,Chad Harbach
0553807986,Bantam Books,2011,Laurie R. King
045146415X,Roc,2011,S. M. Stirling
0399157786,G. P. Putnam's Sons,2011,J. D. Robb
0385534639,Doubleday,2011,Erin Morgenstern
0312651619,St. Martin's Press,2011,Michael Savage
0399157840,G. P. Putnam's Sons,2011,Michael Brandman
0765321548,Tor,13 Sep 2011,David Weber
0312567464,St. Martin's Press,2011,Jackie Collins
1599953544,Center Street,2011,Ted Dekker
1401324436,Hyperion,2011,Some Random Author
1455501476,Grand Central Pub.,2011,Sandra Brown
0061977969,William Morrow,2011,Neal Stephenson
0399157654,Putnam Adult,2011,Stuart Woods
0385344325,Delacorte Press,2011,Lee Child
0778312690,MIRA,2011,Debbie Macomber
145164311X,Simon & Schuster,2011,James Lee Burke
0307700186,Alfred A. Knopf,2011,Paulo Coelho
140006709X,Random House,2011,Charles Frazier
0778312704,Mira,2011,Sherryl Woods
0373776144,HQN,2011,Linda Lael Miller
0399157697,G.P. Putnam's Sons,2011,John Sandford
1439172803,Atria Books,2011,James Wesley Rawles
0786958421,Wizards of the Coast,2011,R. A. Salvatore
145161747X,Scribner,2011,Alice Hoffman
0399157859,G. P. Putnam's Sons,2011,Sharon Kay Penman
0307394999,Crown Trade,2011,Chris Bohjalian
0446547654,Grand Central Publishing,2011,Nicholas Sparks
0374203059,"Farrar, Straus & Giroux",2011,Jeffrey Eugenides
0062011847,Harper,2011,Terry Pratchett
0312547730,Thomas Dunne Books,2011,Robert Kirkman
031609739X,"Little, Brown and Co.",2011,James Patterson
0312651228,St. Martin's Press,2011,Iris Johansen
0385533020,Doubleday,2011,Chuck Palahniuk
0307957128,Alfred A. Knopf,2012,Julian Barnes
1414319355,Tyndale House Publishers,2011,Joel C. Rosenberg
1416563709,Touchstone,2011,Philippa Gregory
0385532377,Doubleday,2011,Jeffry P. Lindsay
0385528078,Doubleday,2011,Colson Whitehead
0385535139,Doubleday,2011,John Grisham
0307593312,Alfred A. Knopf,2011,春樹 村上
1439187207,Threshold Editions,2012,Glenn Beck
0061558265,William Morrow,2011,Guillermo del Toro
0446573019,Grand Central Pub.,2011,David Baldacci
0385343175,Delacorte Press,2011,Danielle Steel
1451628005,Simon & Schuster,2011,Richard J. Evans
0060548940,William Morrow,2011,Gregory Maguire
052595242X,Dutton,2011,Jennifer Chiaverini
0385344015,Delacorte Press,2011,C. Alan Bradley
1451627289,Scribner,November 2011,Stephen King
0765330423,Blank Publisher,2011,Brandon Sanderson
0547577532,Houghton Mifflin Harcourt,2011,Umberto Eco
0316198730,"Little, Brown and Co.",2011,James Patterson
0399157867,G.P. Putnam's Sons,2011,Sue Grafton
0399157824,G.P. Putnam's Sons,2011,Clive Cussler
0345511344,Del Rey/Ballantine Books,2011,Drew Karpyshyn
0345527712,Bantam Books,2011,Janet Evanovich
0060873027,Harper,2011,Michael Crichton
0316069418,"Little, Brown and Company",2011,Michael Connelly
0385337515,Delacorte Press,2011,Diana Gabaldon
0399158022,G.P. Putnam's Sons,2011,Patricia Daniels Cornwell
0307959856,Alfred A. Knopf,2011,P. D. James
039915731X,G.P. Putnam's Sons,2011,Tom Clancy
0553807714,Bantam Books,2011,Dean Ray Koontz
052595239X,Dutton,2012,Tami Hoag
0399157808,G.P. Putnam's Sons,2011,William E. Butterworth (W.E.B.) Griffin
0399157662,G. P. Putnam's Sons,2011,Stuart Woods
0316097403,"Little, Brown and Co.",2012,James Patterson
0312651317,St. Martin's Press,2012,Janet Evanovich
039915809X,G.P. Putnam's Sons,2012,Jack Higgins
052595256X,Dutton,2012,John T. Lescroart
0765323974,Tor Books,2012,Greg Bear
0525952586,Dutton,2012,Elizabeth George
0446564370,Grand Central Pub.,2012,Douglas J. Preston
034551128X,Del Rey/Ballantine Books,2012,James Luceno
0399157875,Putnam Adult,2012,Jayne Ann Krentz
1439136823,Gallery Books,2012,Kresley Cole
0061969656,HarperCollins,2012,Bernard Cornwell
006211946X,William Morrow,2012,Elmore Leonard
0765332000,Tor,2012,Orson Scott Card
0312614578,Minotaur Books,2012,Nevada Barr
0399158278,G. P. Putnam's sons,2012,Robert Crais
034553087X,Delacorte Press,2012,Lara Adrian
0061876909,William Morrow,2012,Tim Dorsey
0312577206,St. Martin's Press,2012,Kristin Hannah
0385344228,Delacorte Press,2012,William Landay
0307957934,Alfred A. Knopf,2012,"Harris, Robert"
0812992792,Random House,2012,Adam Johnson
1416595201,Emily Bestler Books/Atria,2011,Vince Flynn
0525952764,Dutton,2012,Lisa Gardner
1451628587,Touchstone,2012,J. A. Jance
0061990612,William Morrow & Co.,2012,Deborah Crombie
0316206822,"Little, Brown and Co.",2012,James Patterson
0307595110,Alfred A. Knopf,2012,Anne Rice
0385342063,Dial Press,2011,Sophie Kinsella
0312593309,St. Martin's Press,2012,Tatiana de Rosnay
0446564508,Grand Central Pub.,2012,Paul Garrison
0312587538,St. Martin's Press,2012,"Palmer, Michael"
0312559135,Minotaur Books,2012,Dana Stabenow
0399158308,G. P. Putnam's Sons,2012,J. D. Robb
0061957895,Harper Voyager,2012,Kim Harrison
0399158294,Putnam,2012,Alex Berenson
0525952640,Dutton,2012,Jennifer Chiaverini
1439102740,Atria,2012,Jodi Picoult
0345505719,Ballantine Books,2012,Jonathan Kellerman
0758234937,Kensington Books,2012,Joanne Fluke
1451608128,Simon & Schuster,2012,Lisa Lutz
0399158618,G.P. Putnam's Sons,2012,Clive Cussler
145163806X,Baen,2012,David Weber
0441020038,Ace Books,2012,Patricia Briggs
0399158316,G. P. Putnam's Sons,2012,Randy Wayne White
0307956350,Crown,2012,Chris Pavone
0345522869,Del Rey/Ballantine Books,2012,Naomi Novik
0425245535,Berkley Prime Crime,2012,Laura Childs
0446583855,Grand Central Pub.,2012,"Gupta, Sanjay M.D."
0312591829,St. Martin's Press,2012,"Green, Jane"
0312622899,Minotaur Books,2012,Olen Steinhauer
006146841X,Harper Voyager,2012,Raymond E. Feist
0525952276,Dutton,2012,Harlan Coben
039915826X,G. P. Putnam's Sons,2012,C. J. Box
0061859303,William Morrow,2012,Some Random Author
0345521277,Ballantine Books,2012,Suzanne Brockmann
1451617054,Scribner,2012,Richard North Patterson
0451235843,New American Library,2012,J. R. Ward
031609756X,"Little, Brown and Co.",2012,James Patterson
0385343191,Delacorte Press,"March 27, 2012",Danielle Steel
0062049577,Harper,2012,Jacqueline Winspear
0312631685,St. Martin's Press,2012,Barbara Taylor Bradford
1451668864,Simon & Schuster,2012,Mary Higgins Clark
0061779741,William Morrow,2012,Christopher Moore
0307378403,Pantheon,2012,Alexander McCall Smith
0061257095,HarperCollins,2012,Adriana Trigiani
0307957276,Alfred A. Knopf,2012,Anne Tyler
0802120237,Atlantic Monthly Press,2012,Donna Leon
1439170312,Simon & Schuster,2012,Carol Higgins Clark
0345530446,Bantam Books,2012,sneaky pie brown
0345510623,Ballantine Books,2012,Anne Perry
0062069888,Harper,2012,Phillip Margolin
0385536070,Doubleday,2012,John Grisham
0312380828,St. Martin's Press,2012,Lisa Scottoline
0316185906,"Little, Brown and Co.",2012,Charlotte Rogan
0061804193,Ecco,2012,Ron Rash
0446572993,Grand Central Pub.,2012,David Baldacci
0399159126,G. P. Putnam's Sons,2012,Nora Roberts
0399158863,G. P. Putnam's Sons,2012,Stuart Woods
0399159029,Marian Wood Books,2012,Philip Kerr
1451658907,Scribner,2012,Stephen King
0399159088,Putnam Adult,2012,Amanda Quick
0345535227,Delacorte Press,2012,Karen Marie Moning
1937007448,Ace Books,2012,Charlaine Harris
0399158030,G.P. Putnam's Sons,2012,Ace Atkins
0446572470,Grand Central Pub.,2012,Kimberla Lawson Roby
0446573310,Grand Central Pub.,2012,Sherrilyn Kenyon
145166737X,Touchstone/Simon & Schuster,2012,Bethenny Frankel
0316097497,"Little, Brown and Co.",2012,James Patterson
0805090037,Henry Holt and Co.,2012,Hilary Mantel
1451628188,Simon & Schuster,2012,Richard J. Evans
1451664125,Simon & Schuster,2012,John Irving
0307594165,Knopf,2012,Toni Morrison
1250000971,St. Martin's Press,2012,Jeffrey Archer
0765330539,Forge,2012,W. Bruce Cameron
0446574627,Grand Central Pub.,2012,Edward Falco
0399157689,G.P. Putnam's Sons,2012,John Sandford
0345526511,Ballantine Books,2012,Steve Berry
0670023515,Viking,2012,"Johnson, Craig"
0061692042,Ecco Press,2012,Richard Ford
0316098124,Orbit,2012,Kim Stanley Robinson
0399160132,G.P. Putnam's Sons,2012,Clive Cussler
0345527356,Ballantine Books,2012,Jeff Shaara
1439156417,Atria Books,2012,Joseph Kanon
0425247562,BERKLEY BOOKS,2012,Nalini Singh
0425247546,Berkley Books,2012,Laurell K. Hamilton
030758836X,Crown Publishers,2012,Gillian Flynn
0312642717,St. Martin's Press,2012,Mary Kay Andrews
0446564478,Grand Central Pub.,2012,Eric Lustbader
0765316994,Tor,2012,John Scalzi
1439156379,Simon & Schuster,2012,Jeffery Deaver
0307599469,Alfred A. Knopf,2012,Maggie Shipstead
0345527771,Bantam Books,2012,Janet Evanovich
0062067753,Harper,2012,Terry Pratchett
193636574X,McSweeney's Books,2012,Dave Eggers
0399158839,G.P. Putnam's Sons,2012,Ridley Pearson
0061784796,HarperCollins,2012,James Rollins
031609983X,"Reagan Arthur Books/Little, Brown and Co.",2012,Elin Hilderbrand
0812992970,Random House,2012,Karen Thompson Walker
0061928127,Harper,2012,Jess Walter
1451617755,Atria Books,2012,Jennifer Weiner
0345528506,Delacorte Press,2012,Karin Slaughter
1451672721,Simon & Schuster,2012,Chris Cleave
0670023485,Viking,"July 10, 2012",Deborah E. Harkness
0316097462,"Little, Brown and Co.",2012,James Patterson
0399157328,G. P. Putnam's Sons,2012,Catherine Coulter
0062106066,William Morrow,2012,Susan Elizabeth Phillips
0062206281,Harper,2012,Carlos Ruiz Zafón
0525952632,Dutton Adult,2012,Linda Fairstein
006165597X,HarperCollins Publishers,2012,Andrew Gross
0062073125,Harper,2012,Daniel Silva
1451648138,Simon & Schuster,2012,James Lee Burke
0385534795,Doubleday,2012,Chris Bohjalian
0312611617,St. Martin's Press,2012,Iris Johansen
0765329042,Tor,2012,Orson Scott Card
0312554192,St. Martin's Press,2012,Emily Giffin
0385343213,Delacorte Press,2013,Danielle Steel
1439192987,Emily Bestler Books/Atria,2012,Brad Thor
0670023655,Viking,2012,Tana French
0061731161,William Morrow,2012,J. A. Jance
0525952837,Dutton,2012,Kelley Armstrong
0553807749,Bantam Books,2012,Dean Ray Koontz
1451681739,Scribner,2012,M. L. Stedman
0425258742,Berkley Books,2012,Kay Hooper
0812993292,Random House,2012,Rachel Joyce
0525952861,Dutton,2012,Julie Garwood
0786962232,Wizards of the Coast,2012,R. A. Salvatore
0399157514,G. P. Putnam's Sons,2012,William E. Butterworth (W.E.B.) Griffin
0312546610,St. Martin's Press,2012,Sherrilyn Kenyon
0758258577,Kensington Publisning Corporation,August 2012,Lisa Jackson
0345530594,Lucas Books,2012,Aaron Allston
0307959945,Alfred A. Knopf,2012,Peter Heller
0345535405,Ballantine Books,2012,Karen Robards
0345528921,Ballantine Books,2012,Debbie Macomber
145162607X,Simon & Schuster,2012,Philippa Gregory
0316204277,"little, Brown and Company",2012,Maria Semple
0345523474,Del Rey,2012,Terry Brooks
1451645678,Atria Books,2012,William Kent Krueger
0525952365,Dutton,2012,Jonathan Tropper
0312655460,St. Martin's Minotaur,2012,Louise Penny
0345515633,Ballantine Books,2012,Tess Gerritsen
1439102430,Scribner,2012,Kathy Reichs
034551064X,Ballantine Books,2012,Anne Perry
1416550763,Gallery Books,2012,Christie Golden
1401322786,Hyperion,2012,Mitch Albom
0316097446,"Little, Brown and Co",2012,James Patterson
0399159266,G. P. Putnams Sons,2012,Clive Cussler
1594203970,Penguin Press,2012,Zadie Smith
0553807994,Bantam Books,2012,Laurie R. King
0451464761,Roc,2012,S. M. Stirling
0399158499,G. P. Putnam's Sons,2012,Randy Wayne White
0061990019,Willaim Morrow,2012,Dale Brown
0385344333,Delacorte Press,2012,Lee Child
0399158812,G. P. Putnam's Sons,2012,J. D. Robb
0061493341,Harper,2012,Michael Chabon
1594487367,Riverhead Books,2012,Junot Díaz
1401324444,Hyperion,2012,Richard Castle
0399159495,G. P. Putnam's Sons,2012,Michael Brandman
031607991X,Orbit,2012,Brent Weeks
1451665164,Atria Books,2012,Spencer Quinn
0525952926,Dutton,2012,Ken Follett
0399159843,G.P. Putnam's Sons,2012,Stuart Woods
0765321556,Tor,2012,David Weber
076533271X,Tor,2012,John Edward
0312616252,Minotaur Books,2012,M. C. Beaton
0316228532,"Little, Brown and Co.",2012,J. K. Rowling
045123801X,New American Library,2012,J. R. Ward
143917282X,Atria,2012,James Wesley Rawles
1401323146,Hyperion,2012,J. R. Moehringer
0373777027,Blank Publisher,2012,Susan Mallery
0399157700,G.P. Putnam's Sons,2012,John Sandford
0425255808,Berkley,2012,Christine Feehan
0060004878,William Morrow,2012,Dennis Lehane
0307960471,Alfred A. Knopf,2012,Jo Nesbø
0312546343,Thomas Dunne Books,2012,David Wong
0547819234,Houghton Mifflin Harcourt,2012,Mark Helprin
0062065246,Harper,2012,Louise Erdrich
0756407451,Daw Books,2012,Mercedes Lackey
0316199869,"Little, Brown and Company",2012,James Patterson
0061974323,Blank Publisher,2012,Kim Harrison
1594204772,Penguin Press,2012,Mary Oliver
0446580848,Blank Publisher,2012,Nelson DeMille
0345504984,Ballantine Books,2012,Justin Cronin
0399157565,G. P. Putnam's Sons,2012,Patricia Daniels Cornwell
1439152802,Atria Books,2012,Kate Morton
0312547749,Thomas Dunne Books/St. Martin's Press,2012,Robert Kirkman
0312651244,St. Martin's Press,2012,Iris Johansen
0765332175,Forge,2012,"Taylor, Patrick"
0385535147,Blank Publisher,2012,John Grisham
0316036315,"Little, Brown",2012,Tom Wolfe
1451647018,Howard Books,2012,Karen Kingsbury
0345528875,Ballantine Books,2012,Debbie Macomber
0316219363,"Little, Brown and Company",2012,Kevin Powers
0307907333,Pantheon Books,2012,Alexander McCall Smith
0385343205,Delacorte Press,2012,Danielle Steel
0385344406,Delacorte Press,2012,Karen Marie Moning
0525953604,Dutton,2012,Jennifer Chiaverini
0399162925,Putnam Adult,2012,Dirk Cussler
0062124269,Harper,2012,Barbara Kingsolver
1451638450,Baen Books,2012,Lois McMaster Bujold
141659521X,Atria Books,2012,Vince Flynn
0316210684,"Little, Brown and Co.",2012,James Patterson
0385536828,Nan A. Talese/Doubleday,2012,Ian McEwan
145551604X,Faithwords,2012,William P. Young
0307596885,Alfred A. Knopf,2012,Alice Munro
0345527747,Bantam,20Nov2012,Janet Evanovich
0446573051,Grand Central,2012,David Baldacci
1476716692,Blank Publisher,2012,Glenn Beck
0316069434,"Little, Brown",2012,Michael Connelly
0399160450,G.P. Putnam's Sons,2012,Tom Clancy
0446554995,Grand Central Pub.,2012,Douglas J. Preston
0399160663,Putnam Adult,2012,"William E., IV Butterworth"
0345506936,Blank Publisher,2013,Linda Howard
0765325950,Tor Books,"January 8, 2013",Some Random Author
0812993802,Random House,2013,George Saunders
0399163832,G.P. Putnam's Sons,2013,Sue Grafton
039915986X,Putnam Adult,2012,Stuart Woods
0312651325,St. Martin's Press,2013,Janet Evanovich
006199104X,William Morrow,2013,James Rollins
0399158952,G. P. Putnam's Sons,2013,Jayne Ann Krentz
0061969672,Harper,2013,Bernard Cornwell
0670026603,Pamela Dorman Books/Viking,2012,Jojo Moyes
0399158111,Putnam Adult,2013,Robert Knott
0446553972,Grand Central Publishing,2013,Brad Meltzer
145164020X,Simon & Schuster,2013,Stephen Hunter
0525953612,Dutton,2013,Jennifer Chiaverini
0316224588,Reagan Arthur Books,2013,Ian Rankin
0345528670,Delacorte Press,2013,Melanie Benjamin
